cell_family,chemistry_type,temperature_deg_c,target_capacity_retention_vs_25c,target_usable_energy_retention_vs_25c,discharge_mean_ocv_v,target_pulse_r_1s_mohm,target_pulse_power_proxy_w,target_pulse_r_1s_growth_vs_25c,target_pulse_power_proxy_vs_25c,target_energy_retention_loss_vs_25c,target_low_temperature_penalty
LFP,lithium-ion,5.0,0.956335840001904,0.9481986451413128,3.1934046384358603,188.94973920492112,13.492785472601053,2.2721712538225107,0.4338574057281924,0.0518013548586872,0.0518013548586872
LFP,lithium-ion,15.0,0.9905424579496012,0.9880746338985492,3.211749207931819,127.7890228135623,20.180397242923235,1.5366972477064047,0.648896020184869,0.011925366101450785,0.011925366101450785
LFP,lithium-ion,25.0,1.0,1.0,3.216324905581123,83.15822977121461,31.099585473145424,1.0,1.0,0.0,0.0
LFP,lithium-ion,35.0,0.998769528947808,1.0000531458318511,3.21975259175192,57.346118695433496,45.194020920367535,0.6896024464831018,1.453203321934715,-5.3145831851120207e-05,0.0
LFP,lithium-ion,45.0,1.002505647007378,1.004116738036141,3.2185954979041207,44.8850995554136,57.69930935732564,0.5397553516819892,1.8553079881771783,-0.004116738036141099,0.0
LTO,lithium-ion,5.0,0.9841020247123428,0.986051448611386,2.421708022551259,32.6814034383524,44.86243803415431,1.3179487179485099,0.7666512920446671,0.01394855138861395,0.01394855138861395
LTO,lithium-ion,15.0,0.9920540490265128,0.993330053769408,2.41621086225918,27.5948036814116,52.89107143414732,1.112820512820386,0.9038520871680087,0.006669946230592028,0.006669946230592028
LTO,lithium-ion,25.0,1.0,1.0,2.4092040720256884,24.7971738150962,58.51739702219207,1.0,1.0,0.0,0.0
LTO,lithium-ion,35.0,0.9998215955295854,0.998884538577823,2.406924185652074,23.0168639001613,62.92434169796152,0.92820512820493,1.0753099915585473,0.0011154614221769998,0.0
LTO,lithium-ion,45.0,1.0062068710189935,1.0038103200248474,2.4008111835427406,22.253873936619502,64.75158387523724,0.897435897435684,1.1065356145400815,-0.00381032002484738,0.0
NMC,lithium-ion,5.0,0.9655686790436808,0.9647288719392688,3.766594984130657,99.0407715047989,35.8116096000696,2.311572700296711,0.4348958267435713,0.03527112806073118,0.03527112806073118
NMC,lithium-ion,15.0,0.992143673943436,0.991558438849859,3.752362768929789,60.6449910241144,58.04364924405579,1.4154302670621806,0.7048814925414146,0.008441561150141053,0.008441561150141053
NMC,lithium-ion,25.0,1.0,1.0,3.7566654894263247,42.8456225893679,82.34525925029234,1.0,1.0,0.0,0.0
NMC,lithium-ion,35.0,1.0054408825626726,1.0047621209125464,3.745940472739096,32.9288316042922,106.53331246253323,0.7685459940652948,1.2937394748946038,-0.004762120912546353,0.0
NMC,lithium-ion,45.0,1.007262993451817,1.0065964578136652,3.75341075108534,28.8604045334889,122.03651069768911,0.6735905044509863,1.4820101583110366,-0.006596457813665246,0.0
SIB,sodium-ion,5.0,0.8160716287061319,0.8253307067316197,3.0132906803833626,286.5774986282914,7.920999352658915,3.146648044692823,0.331754714523474,0.17466929326838032,0.17466929326838032
SIB,sodium-ion,15.0,0.8899786158628923,0.8886730994671524,2.9704867227554352,164.8488407555576,13.381640006723623,1.8100558659218644,0.5604623814034617,0.11132690053284755,0.11132690053284755
SIB,sodium-ion,25.0,1.0,1.0,2.9492282960153644,91.0738965902579,23.87607170567714,1.0,1.0,0.0,0.0
SIB,sodium-ion,35.0,0.993706654465614,0.9847974416084811,2.974862335336861,58.5111626138574,37.81246824904976,0.6424581005587092,1.5836972143143164,0.01520255839151885,0.0
SIB,sodium-ion,45.0,1.03275806453241,1.020637486841299,3.003694496810893,42.6113901644334,52.932916500472565,0.4678770949720351,2.2169859913717054,-0.02063748684129907,0.0
