descriptor_id,source_table,measurement_type,aggregation_level,descriptor_name,descriptor_value,descriptor_unit,cell_id,cell_family,chemistry_type,temperature_deg_c,actual_temperature_deg_c,direction,pulse_direction,abs_c_rate,nominal_soc_percent,voltage_v,voltage_window_v,source_member_path,source_notes
D000020,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.006323265211896,fraction,TC23LFP09,LFP,lithium-ion,45.0,45.26069671587335,,,,,,,raw_CU_diffT/TC23LFP09/TC23LFP09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000021,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5017328206469986,Ah,TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000022,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.435758307353432,Ah,TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000023,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.9841020247123428,fraction,TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000024,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.962903609049112,fraction,TC23LTO09,LTO,lithium-ion,5.0,5.935158935389911,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000025,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5138675542450344,Ah,TC23LTO09,LTO,lithium-ion,15.0,15.811795773665091,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000026,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.4702553175356583,Ah,TC23LTO09,LTO,lithium-ion,15.0,15.811795773665091,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000027,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.9920540490265128,fraction,TC23LTO09,LTO,lithium-ion,15.0,15.811795773665091,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000028,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.9860393244656576,fraction,TC23LTO09,LTO,lithium-ion,15.0,15.811795773665091,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000029,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5259930199675806,Ah,TC23LTO09,LTO,lithium-ion,25.0,25.67092164773927,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000030,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.49107168553587,Ah,TC23LTO09,LTO,lithium-ion,25.0,25.67092164773927,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000031,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.0,fraction,TC23LTO09,LTO,lithium-ion,25.0,25.67092164773927,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000032,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0,fraction,TC23LTO09,LTO,lithium-ion,25.0,25.67092164773927,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000033,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.525720775990997,Ah,TC23LTO09,LTO,lithium-ion,35.0,35.53747302880697,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000034,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.4953812763887957,Ah,TC23LTO09,LTO,lithium-ion,35.0,35.53747302880697,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000035,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.9998215955295854,fraction,TC23LTO09,LTO,lithium-ion,35.0,35.53747302880697,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000036,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.002890264026023,fraction,TC23LTO09,LTO,lithium-ion,35.0,35.53747302880697,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000037,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.5354646618184038,Ah,TC23LTO09,LTO,lithium-ion,45.0,45.44496576605653,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000038,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.508600144110325,Ah,TC23LTO09,LTO,lithium-ion,45.0,45.44496576605653,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000039,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.0062068710189935,fraction,TC23LTO09,LTO,lithium-ion,45.0,45.44496576605653,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000040,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0117556109102532,fraction,TC23LTO09,LTO,lithium-ion,45.0,45.44496576605653,,,,,,,raw_CU_diffT/TC23LTO09/TC23LTO09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000041,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.571218481198803,Ah,TC23NMC09,NMC,lithium-ion,5.0,5.790313358071517,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000042,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.4100837017055454,Ah,TC23NMC09,NMC,lithium-ion,5.0,5.790313358071517,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000043,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.9655686790436808,fraction,TC23NMC09,NMC,lithium-ion,5.0,5.790313358071517,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000044,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.8943914088728394,fraction,TC23NMC09,NMC,lithium-ion,5.0,5.790313358071517,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_05deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000045,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.614462554904274,Ah,TC23NMC09,NMC,lithium-ion,15.0,15.702406405726135,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000046,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.5324222161132466,Ah,TC23NMC09,NMC,lithium-ion,15.0,15.702406405726135,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000047,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,0.992143673943436,fraction,TC23NMC09,NMC,lithium-ion,15.0,15.702406405726135,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000048,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,0.9719885870603246,fraction,TC23NMC09,NMC,lithium-ion,15.0,15.702406405726135,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_15deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000049,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.6272467358354772,Ah,TC23NMC09,NMC,lithium-ion,25.0,25.645695101300063,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000050,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.5765845777550676,Ah,TC23NMC09,NMC,lithium-ion,25.0,25.645695101300063,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000051,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.0,fraction,TC23NMC09,NMC,lithium-ion,25.0,25.645695101300063,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000052,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0,fraction,TC23NMC09,NMC,lithium-ion,25.0,25.645695101300063,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_25deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000053,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.6361003942256505,Ah,TC23NMC09,NMC,lithium-ion,35.0,35.59049846204475,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000054,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.5945470922599032,Ah,TC23NMC09,NMC,lithium-ion,35.0,35.59049846204475,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000055,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.0054408825626726,fraction,TC23NMC09,NMC,lithium-ion,35.0,35.59049846204475,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000056,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.011393308521648,fraction,TC23NMC09,NMC,lithium-ion,35.0,35.59049846204475,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_35deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000057,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity,1.6390654182223403,Ah,TC23NMC09,NMC,lithium-ion,45.0,45.59288463167552,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000058,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity,1.6085084238723129,Ah,TC23NMC09,NMC,lithium-ion,45.0,45.59288463167552,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000059,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,discharge_capacity_retention_vs_25c,1.007262993451817,fraction,TC23NMC09,NMC,lithium-ion,45.0,45.59288463167552,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
D000060,data_processed/capacity/capacity_temperature_summary.csv,capacity,cell_temperature,charge_capacity_retention_vs_25c,1.0202487367742126,fraction,TC23NMC09,NMC,lithium-ion,45.0,45.59288463167552,,,,,,,raw_CU_diffT/TC23NMC09/TC23NMC09_45deg.parquet,Capacity and retention from raw_CU_diffT checkup StepIDs.
