member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,21,0.0175072586507006,0.3851559281664154,0.22421031489997048,3.29676381745255,5.695793038674034
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,22,0.0175071904481047,0.40266311861452014,0.23440175269522961,3.2946657901461,5.471658977900552
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,23,0.0175073034535289,0.42017042206804905,0.244593256274188,3.29294922234992,5.5116210773480665
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,24,0.0175073875513005,0.43767780961934954,0.2547848088088717,3.29142338430886,5.576165138121547
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,25,0.0175073514813883,0.45518516110073787,0.26497634034622486,3.29008827602294,5.6075311325966855
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,26,0.0175073387755309,0.47269249987626877,0.27516786448713393,3.28875316773702,5.6379572099447515
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,27,0.017507438355887,0.4901999382321558,0.28535944659662493,3.28741805945109,5.702238867403315
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,28,0.0175072351201104,0.5077071733522662,0.29555091039674014,3.28608295116517,5.687845414364641
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,29,0.0175072675127174,0.5252144408649836,0.305742393053521,3.28455711312412,5.687787486187845
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,30,0.0175067825112108,0.5427212233761944,0.3159335933770116,3.28341273459333,5.701899834254143
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,31,0.0175073248448706,0.560228548221065,0.32612510940848366,3.28188689655227,5.708151519337017
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,32,0.0175072849825421,0.5777358332036071,0.3363166022349507,3.28055178826635,5.709440027624309
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,33,0.0175069314086529,0.59524276461226,0.34650788923591375,3.27921667998043,5.711699254143645
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,34,0.0175068133132706,0.6127495779255306,0.3566991074901669,3.27788157169451,5.7194240883977905
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,discharge,35,0.0175073796687121,0.6302569575942427,0.36689065543616983,3.27654646340858,5.723019944751381
