cell_id,cell_family,chemistry_type,temperature_deg_c,direction,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,window_width_fraction,n_points,ocv_slope_penalty_v,mean_abs_dv_dcapacity_fraction_v,median_abs_dv_dcapacity_fraction_v,max_abs_dv_dcapacity_fraction_v,mean_dv_dcapacity_fraction_v,voltage_span_v,mean_smoothed_ocv_v,ocv_slope_penalty_vs_25c
TC23LFP09,LFP,lithium-ion,5.0,charge,1,central_20_80,0.2,0.8,0.6000000000000001,49,0.07403883204436551,0.1061959831175427,0.09430119974703643,0.5232559559980743,0.1061959831175427,0.06923490111282993,3.263907697798118,1.0591742391080559
TC23LFP09,LFP,lithium-ion,15.0,charge,1,central_20_80,0.2,0.8,0.6000000000000001,54,0.06470510431792158,0.11300249391960114,0.06016422824700385,0.498467989234058,0.11300249391960114,0.06465738698967005,3.3236107965035986,0.925649118712125
TC23LFP09,LFP,lithium-ion,25.0,charge,1,central_20_80,0.2,0.8,0.6000000000000001,60,0.06990241011404748,0.11960074064456118,0.056653634339653536,0.49099724458554306,0.11960074064456118,0.06980709037821997,3.3233674394641803,1.0
TC23LFP09,LFP,lithium-ion,35.0,charge,1,central_20_80,0.2,0.8,0.6000000000000001,60,0.07238189205486595,0.12440592611673792,0.042734542555422195,0.4938268675424524,0.12440592611673698,0.0720958474398099,3.320125033626941,1.0354706216391272
TC23LFP09,LFP,lithium-ion,45.0,charge,1,central_20_80,0.2,0.8,0.6000000000000001,60,0.07357400347290653,0.12643219928190205,0.03797518495778718,0.5411969620618606,0.1264321992819011,0.0732402259706002,3.3189361514866187,1.0525245603530518
TC23LFP09,LFP,lithium-ion,5.0,charge,1,early_0_20,0.0,0.2,0.2,4,0.21957530032154737,1.7805116413412918,1.7945023998460776,2.4980016425685534,1.7805116413412918,0.2248703813003501,3.0810961468373073,0.5982795126091476
TC23LFP09,LFP,lithium-ion,15.0,charge,1,early_0_20,0.0,0.2,0.2,18,0.35580465734286826,2.056705159506,0.5199858571547935,9.417752819562253,2.056705159506,0.3557109933207401,3.1984956091696635,0.9694653117514901
TC23LFP09,LFP,lithium-ion,25.0,charge,1,early_0_20,0.0,0.2,0.2,19,0.367011230860908,2.200919920109035,0.585419217460128,10.458471382631158,2.200919920109035,0.36715477862864976,3.193990594661024,1.0
TC23LFP09,LFP,lithium-ion,35.0,charge,1,early_0_20,0.0,0.2,0.2,19,0.37249505218230367,2.247177037287345,0.6457605494823326,10.617032572922843,2.247177037287345,0.3726859415274699,3.1877165895580064,1.0149418351818067
TC23LFP09,LFP,lithium-ion,45.0,charge,1,early_0_20,0.0,0.2,0.2,19,0.38069900343657653,2.293444475502695,0.6550919659967178,10.747173705184975,2.293444475502695,0.38088732099814004,3.18335992041447,1.037295241738409
TC23LFP09,LFP,lithium-ion,5.0,charge,1,full,0.0,1.0,1.0,105,0.3434084011962032,0.16043543025262855,0.09084176726707938,2.4980016425685534,0.16043543025262855,0.3438857485025699,3.271002585192755,0.6516369464206441
