member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,ambient_temperature_from_file_deg_c,direction,segment_index,segment_capacity_ah,cumulative_capacity_ah,soc_fraction_by_capacity,ocv_voltage_v,ocv_temperature_mean_deg_c,smoothing_window_segments,smoothed_ocv_voltage_v,dv_dcapacity_fraction_v,abs_dv_dcapacity_fraction_v
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,17,0.0050181725566106,0.2257212907210307,0.5283971828641523,3.25728275814028,5.454783232044199,1,3.25728275814028,0.06625103573531987,0.06625103573531987
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,18,0.0048882272383541,0.2306095179593848,0.5398401685643287,3.25823640691593,5.494775801104972,1,3.25823640691593,0.09209534525749064,0.09209534525749064
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,19,0.0048505393966476,0.2354600573560324,0.5511949297584237,3.25938078544673,5.522650966850829,1,3.25938078544673,0.09314708432529528,0.09314708432529528
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,20,0.0047558281909455,0.2402158855469779,0.5623279788839813,3.26033443422238,5.534360220994476,1,3.26033443422238,0.08683699842052306,0.08683699842052306
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,21,0.0046301883251308,0.2448460738721087,0.5731669141891729,3.26128808299804,5.540321187845304,1,3.26128808299804,0.08954363742651594,0.08954363742651594
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,22,0.0044741990566129,0.2493202729287215,0.5836406899217845,3.2622417317737,5.5565472375690605,1,3.2622417317737,0.10149048472973732,0.10149048472973732
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,23,0.0043764462263347,0.2536967191550562,0.593885633363162,3.26338611030449,5.559977983425414,1,3.26338611030449,0.10407039763086345,0.10407039763086345
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,24,0.0042116850582056,0.2579084042132619,0.6037448828506964,3.26433975908015,5.561529475138122,1,3.26433975908015,0.09823763893183468,0.09823763893183468
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,25,0.0040859082350331,0.2619943124482949,0.6133096979106155,3.26529340785581,5.552301629834254,1,3.26529340785581,0.10167333095196796,0.10167333095196796
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,5.0,charge,26,0.0039334114306176,0.2659277238789125,0.6225175290033089,3.26624705663147,5.564407209944752,1,3.26624705663147,0.09430119974703643,0.09430119974703643
