cell_family,pulse_direction,r_1s_1c_mohm,r_1s_2c_mohm,r_1s_3c_mohm,ratio_3c_over_1c,n_cells,secant_fall_percent_per_c
SIB,charge,88.99,85.94,82.595,0.9268594576347474,3,3.6570271182626293
LFP,charge,67.29,66.27,65.85000000000001,0.9786000891662952,3,1.0699955416852425
LTO,charge,31.16,30.71,32.01,1.0272785622593068,3,-1.3639281129653402
NMC,charge,41.980000000000004,41.625,41.72,0.993822760750772,3,0.30886196246139863
SIB,discharge,89.63,85.05,80.77,0.9004251510405011,3,4.978742447974943
LFP,discharge,65.76,63.66,62.07,0.9438868613138686,3,2.8056569343065716
LTO,discharge,31.29,31.16,31.41,1.0038350910834133,3,-0.19175455417066445
NMC,discharge,41.72,41.4,40.96,0.9878077934496773,3,0.6096103275161358
