cell_family,spectra_count,kk_consistent_count,median_max_abs_residual,worst_max_abs_residual,median_rms_residual,worst_rms_residual,median_n_voigt_elements,worst_residual_at_extreme_count
LFP,10,8,0.012648216743407239,0.03284593936235667,0.004554905539600058,0.011815269631128705,11.0,4
LTO,10,10,0.005819360833812726,0.009370036291588866,0.0016172997796665436,0.003096886070112277,15.0,7
NMC,10,10,0.008818611460648664,0.019485906345288594,0.0033918138267905146,0.0075075431013782315,11.0,6
SIB,10,9,0.009591187028499322,0.05696630868807847,0.0034941849317240703,0.020233935449049466,12.0,0
