cold_deg_c,family,delta_mv,line_v,Q_cold,Q25,shortfall_wh,pct_shortfall,share_window,share_gap,share_shift,closure
5.0,SIB,0,1.5930046033296268,1.284048916956514,1.5734512410293595,1.1694208526539747,25.120711422263277,58.01525542148547,26.688685533738216,15.29605904477632,100.0
5.0,SIB,50,1.6430046033296268,1.284048916956514,1.5229558724198866,1.0880671194872695,23.788856046376466,52.91856163125616,30.641707684834365,16.439730683909477,100.0
5.0,SIB,100,1.6930046033296269,1.284048916956514,1.5229558724198866,1.0880671194872695,23.788856046376466,52.91856163125616,30.641707684834365,16.439730683909477,100.0
5.0,SIB,150,1.7430046033296267,1.284048916956514,1.5229558724198866,1.0880671194872695,23.788856046376466,52.91856163125616,30.641707684834365,16.439730683909477,100.0
5.0,SIB,200,1.7930046033296267,1.2171305341505385,1.5052494536003407,1.1693731459100216,25.742407482557688,61.6032276931806,25.48708772741593,12.909684579403471,100.0
5.0,LFP,0,2.190239358207999,1.7137264877872214,1.796265655273073,0.6846981677666291,12.358492008489046,34.229068131238115,54.198677338276916,11.572254530484972,100.0
5.0,LFP,50,2.2402393582079987,1.6735934699565287,1.7891454063710468,0.7580841814364234,13.72202653189086,44.96205906013418,46.264491960873926,8.773448978991894,100.0
5.0,LFP,100,2.290239358207999,1.6282658853658847,1.785850640630013,0.8530795731513052,15.462462386098741,55.79080485182284,37.63858901257222,6.570606135604944,100.0
5.0,LFP,150,2.3402393582079988,1.6107552313082725,1.785850640630013,0.8939981570842308,16.204130672233013,59.47711532938416,34.58396817790358,5.938916492712258,100.0
5.0,LFP,200,2.390239358207999,1.5932409951862152,1.7709367503509619,0.9001392939549664,16.421249121876556,60.89025644628059,33.48622613427803,5.623517419441389,99.99999999999999
5.0,NMC,0,2.642441661828485,1.571218481198803,1.6190712686026718,0.3942661899514954,6.530133344088511,36.98308862116397,50.34689502631084,12.670016352525185,99.99999999999999
5.0,NMC,50,2.692441661828485,1.5542022085700862,1.6190712686026718,0.43955832455456534,7.280295762105734,45.871840824366814,43.59396226143257,10.53419691420061,99.99999999999999
5.0,NMC,100,2.7424416618284853,1.5242351795284852,1.6190712686026718,0.5209938716203357,8.62909257715523,58.072702335534515,34.00469071267146,7.92260695179402,100.0
5.0,NMC,150,2.792441661828485,1.5242351795284852,1.6078289570772453,0.4901303249469535,8.159618057644611,55.24066593961917,36.33783990045902,8.421494159921819,100.0
5.0,NMC,200,2.8424416618284853,1.5085210263996491,1.6078289570772453,0.5347270641819817,8.902058058298698,60.728024033281514,31.953458670810267,7.318517295908217,100.0
5.0,LTO,0,1.809347681273913,1.5017328206469986,1.5172448922699815,0.07182623428778445,1.9917178702031944,48.41560531074094,53.713332121777846,-2.1289374325187893,100.0
5.0,LTO,50,1.8593476812739131,1.4917601015498454,1.5133885999694126,0.08297589399749139,2.305465746353045,59.15296298885556,43.236414932059574,-2.3893779209151362,100.0
5.0,LTO,100,1.9093476812739132,1.4823451442178914,1.5133885999694126,0.10072689536557666,2.79867315450491,70.27704115707392,31.881540052201657,-2.158581209275581,100.0
5.0,LTO,150,1.959347681273913,1.4741377459552132,1.5133885999694126,0.11647730006137325,3.2362944535107996,77.12328093024831,24.895290844634278,-2.018571774882585,100.0
5.0,LTO,200,2.0093476812739133,1.4590950496921902,1.5133885999694126,0.14637441764204118,4.066978850825075,85.27624120916984,16.506247435266925,-1.7824886444367603,100.0
15.0,SIB,0,1.5930046033296268,1.4003379576190595,1.5734512410293595,0.6697418176168464,14.386942809846683,56.75971944981687,18.413560855318202,24.82671969486493,100.0
15.0,SIB,50,1.6430046033296268,1.4003379576190595,1.5229558724198866,0.5883880844501412,12.864169121279447,47.161143919617864,24.579459241233913,28.25939683914822,100.0
15.0,SIB,100,1.6930046033296269,1.3548787608414745,1.5229558724198866,0.6625429516054493,14.485447283537555,58.9657094201136,18.347159651239526,22.68713092864687,100.0
15.0,SIB,150,1.7430046033296267,1.3548787608414745,1.5229558724198866,0.6625429516054493,14.485447283537555,58.9657094201136,18.347159651239526,22.68713092864687,100.0
15.0,SIB,200,1.7930046033296267,1.339303156723167,1.5052494536003407,0.6591017828843815,14.509369166577,59.66167142491204,18.32834776757194,22.009980807516012,100.0
15.0,LFP,0,2.190239358207999,1.7771430833827024,1.796265655273073,0.2288701310727408,4.131002270782128,21.794859743497387,67.15267556840682,11.052464688095792,100.0
15.0,LFP,50,2.2402393582079987,1.7707909969871303,1.7891454063710468,0.22722577128654997,4.11299712970583,21.32551089661916,67.64996654867996,11.02452255470088,100.0
15.0,LFP,100,2.290239358207999,1.7513789871371246,1.785850640630013,0.26396664969092676,4.7845177876584035,35.96799613081638,55.39157955502903,8.640424314154584,100.0
15.0,LFP,150,2.3402393582079988,1.7513789871371246,1.785850640630013,0.26396664969092676,4.7845177876584035,35.96799613081638,55.39157955502903,8.640424314154584,100.0
15.0,LFP,200,2.390239358207999,1.7335083174741763,1.7709367503509619,0.27106695868988684,4.945076931147445,39.897349964053056,52.31454864674506,7.788101389201886,100.0
15.0,NMC,0,2.5978011606007168,1.6144625549042741,1.6217905856381751,0.11467034761191996,1.8970275449029892,17.97581518947173,67.51920948603137,14.504975324496895,100.0
15.0,NMC,50,2.6478011606007166,1.6024274468546362,1.6190712686026718,0.1391444019341863,2.3046142983385622,34.593766925419786,53.71841766142539,11.687815413154826,100.0
15.0,NMC,100,2.697801160600717,1.5922972953449612,1.6190712686026718,0.1664623182658591,2.7570741867972277,47.316137287984226,43.16480044205771,9.519062269958063,100.0
15.0,NMC,150,2.7478011606007167,1.5922972953449612,1.6078289570772453,0.1355987715924769,2.257428542908767,34.63126819823092,53.683042067525186,11.685689734243898,100.0
15.0,NMC,200,2.797801160600717,1.5922972953449612,1.6078289570772453,0.1355987715924769,2.257428542908767,34.63126819823092,53.683042067525186,11.685689734243898,100.0
15.0,LTO,0,1.7550131331248526,1.5138675542450344,1.5233971139139348,0.03422453109743406,0.94615192849065,60.290579679070234,43.141299277850216,-3.4318789569204524,100.0
15.0,LTO,50,1.8050131331248527,1.508744815858624,1.5197698735237937,0.0369308291149566,1.0227851701077624,66.3056295451879,38.605368996542715,-4.910998541730618,100.0
15.0,LTO,100,1.8550131331248527,1.5030344025714373,1.5133885999694126,0.0357209328908592,0.9924977392848763,65.2375473679174,40.1217893374125,-5.359336705329898,100.0
15.0,LTO,150,1.9050131331248525,1.4980290350982577,1.5133885999694126,0.04518355213692171,1.2554143948527903,76.70483097406142,27.573346613475195,-4.2781775875366215,100.0
15.0,LTO,200,1.9550131331248526,1.4980290350982577,1.5133885999694126,0.04518355213692171,1.2554143948527903,76.70483097406142,27.573346613475195,-4.2781775875366215,100.0
