cell_family,chemistry_type,temperature_deg_c,pulse_direction,abs_c_rate,nominal_soc_percent,pulse_count,complete_1s_count,complete_10s_count,median_r_fast_mohm,median_r_1s_mohm,median_r_10s_mohm,median_polarization_1s_mohm
LFP,lithium-ion,5.0,discharge,3.0,10,2,2,1,126.450640570563,156.86542045843015,147.9637073441265,30.41477988786715
LFP,lithium-ion,5.0,discharge,3.0,20,2,2,2,107.48710296431305,140.9708749760853,188.1237035397445,33.4837720117722
LFP,lithium-ion,5.0,discharge,3.0,30,2,2,2,107.0206556924293,138.32154845633292,170.49132179120573,31.300892763903597
LFP,lithium-ion,5.0,discharge,3.0,40,2,2,2,106.27892837574825,136.13875092438747,159.5773341314815,29.859822548639148
LFP,lithium-ion,5.0,discharge,3.0,50,2,2,2,105.70673873145185,134.06191443768327,151.88456224705672,28.355175706231403
LFP,lithium-ion,5.0,discharge,3.0,60,2,2,2,104.98620362381965,131.5824259790673,146.58650998505541,26.5962223552476
LFP,lithium-ion,5.0,discharge,3.0,70,2,2,2,104.3928217704766,129.6963193737956,143.2169487464226,25.303497603319
LFP,lithium-ion,5.0,discharge,3.0,80,2,2,2,103.8842087533236,128.1280959042411,141.14011225971723,24.243887150917452
LFP,lithium-ion,5.0,discharge,3.0,90,2,2,2,105.32527896858795,126.24198929896929,138.57585496490896,20.916710330381353
LFP,lithium-ion,5.0,discharge,3.0,100,2,2,2,93.18214318408086,111.08955982964544,122.1942773707999,17.907416645564602
LFP,lithium-ion,15.0,charge,1.0,0,1,1,1,115.32800367352911,190.8570380528867,253.670746779152,75.5290343793576
LFP,lithium-ion,15.0,charge,1.0,10,2,2,2,108.33457456432754,158.56011089403296,196.19747482718213,50.2255363297053
LFP,lithium-ion,15.0,charge,1.0,20,2,2,2,105.2193197793257,146.7984346649331,176.4251434366328,41.5791148856073
LFP,lithium-ion,15.0,charge,1.0,30,2,2,2,103.94778721401521,144.1917929060437,174.39069133213735,40.244005692028445
LFP,lithium-ion,15.0,charge,1.0,40,2,2,2,103.50275081615446,142.28449405808124,173.30988865161783,38.7817432419267
LFP,lithium-ion,15.0,charge,1.0,50,2,2,2,102.93056116176415,141.0129614927707,173.18273539508837,38.082400331006546
LFP,lithium-ion,15.0,charge,1.0,60,2,2,2,102.6762546487045,139.55069904266864,172.73769899723402,36.874444393964104
LFP,lithium-ion,15.0,charge,1.0,70,2,2,2,100.26034277461629,136.3718676293956,170.38536375141078,36.111524854779304
LFP,lithium-ion,15.0,charge,1.0,80,2,2,2,99.3066933506333,133.3837661009169,166.38003617068443,34.0770727502835
LFP,lithium-ion,15.0,charge,1.0,90,2,2,2,98.54377381144515,131.0314308550937,163.9005476683316,32.48765704364855
LFP,lithium-ion,15.0,charge,1.0,100,2,2,2,97.9080075287997,128.9334021223397,164.2184308096623,31.02539459353995
LFP,lithium-ion,15.0,charge,2.0,0,1,1,1,107.7623834843163,162.9468960886738,210.2479068924083,55.1845126043575
LFP,lithium-ion,15.0,charge,2.0,10,2,2,2,100.89596185676194,139.4233531133982,171.02090219519727,38.5273912566362
LFP,lithium-ion,15.0,charge,2.0,20,2,2,1,97.17687501815736,129.06055367148176,153.2832487201714,31.883678653324353
LFP,lithium-ion,15.0,charge,2.0,30,2,2,1,96.28680223421765,127.24861978988885,152.83821232819818,30.9618175556712
LFP,lithium-ion,15.0,charge,2.0,40,2,2,0,95.77808212083424,125.8815828207091,,30.10350069987485
LFP,lithium-ion,15.0,charge,2.0,50,2,2,0,95.46001940573795,124.86412128729185,,29.40410188155385
LFP,lithium-ion,15.0,charge,2.0,60,2,2,0,94.9197625064232,123.5927775623629,,28.67301505593965
LFP,lithium-ion,15.0,charge,2.0,70,2,2,0,93.36187273212066,121.2083155600297,,27.846442827909
LFP,lithium-ion,15.0,charge,2.0,80,2,2,0,92.34505133390611,119.04723485214349,,26.702183518237298
LFP,lithium-ion,15.0,charge,2.0,90,2,2,0,91.93152717995079,117.3303135619636,,25.398786382012748
LFP,lithium-ion,15.0,charge,2.0,100,2,2,0,91.45484098942615,115.74107572179865,,24.286234732372453
LFP,lithium-ion,15.0,charge,3.0,0,1,1,1,102.18883293074211,148.98123092142708,190.2212700925655,46.792397990685
LFP,lithium-ion,15.0,charge,3.0,10,2,1,1,94.32579837301144,138.6818172332622,175.4291080465986,40.6042728940903
LFP,lithium-ion,15.0,charge,3.0,20,2,0,0,90.42683878325094,,,
LFP,lithium-ion,15.0,charge,3.0,30,2,0,0,89.76965915212085,,,
LFP,lithium-ion,15.0,charge,3.0,40,2,0,0,89.2380738695421,,,
LFP,lithium-ion,15.0,charge,3.0,50,2,0,0,89.0691313061581,,,
LFP,lithium-ion,15.0,charge,3.0,60,2,0,0,88.37142387254335,,,
LFP,lithium-ion,15.0,charge,3.0,70,2,0,0,87.22457409399055,,,
LFP,lithium-ion,15.0,charge,3.0,80,2,0,0,86.4841657596169,,,
LFP,lithium-ion,15.0,charge,3.0,90,2,0,0,86.16313479501005,,,
LFP,lithium-ion,15.0,charge,3.0,100,2,0,0,85.65953708042686,,,
LFP,lithium-ion,15.0,discharge,1.0,0,1,1,1,112.65778528638481,174.5814212169353,290.29088466005345,61.9236359305505
LFP,lithium-ion,15.0,discharge,1.0,10,2,2,2,105.7279328054413,145.9719384974766,200.71141543403076,40.2440056920353
LFP,lithium-ion,15.0,discharge,1.0,20,2,2,2,102.8034079052344,135.4817948336777,173.11915876682679,32.67838692844325
LFP,lithium-ion,15.0,discharge,1.0,30,2,2,2,101.84975848125485,133.00230633132787,163.70981778354027,31.15254785007295
LFP,lithium-ion,15.0,discharge,1.0,40,2,2,2,100.89610905727505,130.9678542268355,157.0978484439343,30.07174516956045
LFP,lithium-ion,15.0,discharge,1.0,50,2,2,2,100.83253242900669,129.50559177672355,152.90179097841005,28.67305934771675
LFP,lithium-ion,15.0,discharge,1.0,60,2,2,2,100.13318951808665,128.04332932661833,150.29514921952736,27.9101398085316
LFP,lithium-ion,15.0,discharge,1.0,70,2,2,2,98.0351607853262,125.94530059386145,149.97726607820317,27.910139808535202
LFP,lithium-ion,15.0,discharge,1.0,80,2,2,2,96.63647496348935,123.02077569365086,145.97193849748004,26.3843007301615
LFP,lithium-ion,15.0,discharge,1.0,90,2,2,2,96.2550151938933,120.7320170760926,141.6487277754293,24.4770018821993
LFP,lithium-ion,15.0,discharge,1.0,100,2,2,2,95.61924891124136,117.807492175882,136.75332739898815,22.18824326464065
LFP,lithium-ion,15.0,discharge,2.0,0,1,1,1,102.7398299177904,146.4805495857594,260.2827126753921,43.740719667968996
LFP,lithium-ion,15.0,discharge,2.0,10,2,2,2,97.27223995929465,126.5174885745069,182.2424025119732,29.2452486152122
LFP,lithium-ion,15.0,discharge,2.0,20,2,2,2,93.93446701951589,117.96643218592914,152.3613876225165,24.03196516641325
LFP,lithium-ion,15.0,discharge,2.0,30,2,2,2,93.0761825492864,115.45515540266625,139.23281405938275,22.37897285337985
LFP,lithium-ion,15.0,discharge,2.0,40,2,2,2,92.5039929024674,113.29355007023744,131.7307720233058,20.78955716777005
LFP,lithium-ion,15.0,discharge,2.0,50,2,2,2,92.18610976534511,111.79949932576517,127.94796269155714,19.613389560420053
LFP,lithium-ion,15.0,discharge,2.0,60,2,2,2,91.6139201185243,110.40081352242845,125.468474222006,18.786893403904152
LFP,lithium-ion,15.0,discharge,2.0,70,2,2,2,90.18344600147574,108.938551091668,124.86449626147345,18.755105090192203
LFP,lithium-ion,15.0,discharge,2.0,80,2,2,2,89.32516153124789,107.12661721007349,122.798255870182,17.8014556788255
LFP,lithium-ion,15.0,discharge,2.0,90,2,2,2,88.78476019814069,105.3782599559026,120.0326725772222,16.59349975776185
LFP,lithium-ion,15.0,discharge,2.0,100,2,2,2,88.11720561018261,103.21665462347215,117.0763594019861,15.099449013289501
LFP,lithium-ion,15.0,discharge,3.0,0,1,1,0,99.5129743915417,137.5790163121571,,38.0660419206154
LFP,lithium-ion,15.0,discharge,3.0,10,2,2,2,99.87832342711665,118.99941608875845,170.63369886043031,19.12109266164175
LFP,lithium-ion,15.0,discharge,3.0,20,2,2,2,86.57017396110429,106.80873360194904,135.12152489008494,20.23855964084475
LFP,lithium-ion,15.0,discharge,3.0,30,2,2,2,85.8708310625199,104.51997502476449,123.8472696765457,18.6491439622446
LFP,lithium-ion,15.0,discharge,3.0,40,2,2,2,85.46817909060594,102.50671516520259,116.6843030183183,17.0385360745966
LFP,lithium-ion,15.0,discharge,3.0,50,2,2,2,85.21387258203106,101.0656449499404,112.99685864396609,15.851772367909252
LFP,lithium-ion,15.0,discharge,3.0,60,2,2,2,84.81122061011831,99.77292019800966,111.02598320250095,14.961699587891248
LFP,lithium-ion,15.0,discharge,3.0,70,2,2,2,83.7728023667656,98.41661881893864,109.96637275010154,14.643816452173
LFP,lithium-ion,15.0,discharge,3.0,80,2,2,2,83.05226725913455,96.97554860367316,108.50411032578941,13.92328134453855
LFP,lithium-ion,15.0,discharge,3.0,90,2,2,2,82.56484645102935,95.53447838840876,106.53323488432414,12.9696319373794
LFP,lithium-ion,15.0,discharge,3.0,100,2,2,2,81.8019269253015,97.59012266606746,112.2975157453828,15.788195740765902
LFP,lithium-ion,25.0,charge,1.0,0,1,1,1,80.1065516144681,119.9055209086393,168.47806490344848,39.7989692941711
LFP,lithium-ion,25.0,charge,1.0,10,2,2,2,73.81246541618985,92.4404174979683,113.10282168423899,18.6279520817784
LFP,lithium-ion,25.0,charge,1.0,20,2,2,2,71.58728342689639,90.9145784195949,112.02201900372616,19.3272949926985
LFP,lithium-ion,25.0,charge,1.0,30,2,2,2,72.79523936394206,89.4523159694896,110.68690981014736,16.657076605547502
LFP,lithium-ion,25.0,charge,1.0,40,2,2,2,70.69721063118159,88.37151328897696,110.1147201557603,17.6743026577953
LFP,lithium-ion,25.0,charge,1.0,50,2,2,2,72.22304970955155,87.79932363458659,110.30545004055814,15.576273925034998
LFP,lithium-ion,25.0,charge,1.0,60,2,2,2,72.032319824757,87.22713398019941,111.32267609280593,15.194814155442351
LFP,lithium-ion,25.0,charge,1.0,70,2,2,2,70.57005737465185,85.12910524744211,109.22464736004545,14.55904787279025
LFP,lithium-ion,25.0,charge,1.0,80,2,2,2,68.66275852668579,83.60326616906545,107.31734851207975,14.94050764237965
LFP,lithium-ion,25.0,charge,1.0,90,2,2,2,68.3448753853582,82.3317336037582,106.2365458315669,13.986858218399949
LFP,lithium-ion,25.0,charge,1.0,100,2,2,2,67.64553247444135,81.56881406457636,110.30545004055811,13.9232815901349
LFP,lithium-ion,25.0,charge,2.0,0,1,1,1,78.0720984771342,111.1319447378103,148.515001663344,33.059846260676
LFP,lithium-ion,25.0,charge,2.0,10,2,2,2,71.269399342724,88.18078223760651,104.2020923485509,16.9113828948824
LFP,lithium-ion,25.0,charge,2.0,20,2,2,2,69.36210051999541,87.16355619881924,103.43917281945875,17.801455678823746
LFP,lithium-ion,25.0,charge,2.0,30,2,2,2,69.1077940102969,85.82844702290629,102.35837015324606,16.7206530126094
LFP,lithium-ion,25.0,charge,2.0,40,2,2,2,68.8534875005967,85.12910412123794,102.45373509438005,16.2756166206412
LFP,lithium-ion,25.0,charge,2.0,50,2,2,2,70.06144342166209,84.65227941555625,102.99413642748895,14.5908359938941
LFP,lithium-ion,25.0,charge,2.0,60,2,2,2,68.53560436347605,83.95293651388624,104.23388066226275,15.417332150410148
LFP,lithium-ion,25.0,charge,2.0,70,2,2,2,67.39122506983806,82.1410026322933,103.15307799604835,14.749777562455199
LFP,lithium-ion,25.0,charge,2.0,80,2,2,2,67.86804977552299,80.93304671123124,102.99413642748885,13.064996935708201
LFP,lithium-ion,25.0,charge,2.0,90,2,2,2,67.61374326582458,79.88403235872721,103.757055956581,12.2702890929026
LFP,lithium-ion,25.0,charge,2.0,100,2,2,2,66.2468457761981,78.89859463365009,110.21008364015375,12.651748857451999
