cell_family,cell_id,temperature_deg_c,n_segments,capacity_ah,delivered_energy_wh,ocv_energy_wh,polarisation_loss_wh,mean_current_a,mean_overpotential_v,polarisation_loss_percent_of_ocv,energy_efficiency,implied_resistance_mohm,delivered_energy_wh_retention_vs_25c,ocv_energy_wh_retention_vs_25c,capacity_ah_retention_vs_25c
SIB,TC23SIB09,5.0,105,1.2840489169565137,3.485785096718839,4.05091640020908,0.5651313034902412,1.4999163338633903,0.4401166466692953,13.950702696828627,0.8604929730317138,293.427464407745,0.7487928857773677,0.8253307067316197,0.8160716287061318
SIB,TC23SIB09,15.0,105,1.4003379576190595,3.9854641317559674,4.361815698475821,0.37635156671985404,1.4998555087702403,0.2687576700125661,8.628323449139888,0.9137167655086011,179.18904083829085,0.8561305719015335,0.8886730994671524,0.8899786158628924
SIB,TC23SIB09,25.0,105,1.5734512410293593,4.655205949372813,4.908234198932275,0.25302824955946196,1.4998192556538226,0.16081098858451418,5.155178813890036,0.9484482118610995,107.22024535843899,1.0,1.0,1.0
SIB,TC23SIB09,35.0,105,1.5635489686880535,4.667619939326655,4.833616481923758,0.16599654259710295,1.499931403645799,0.10616651343922265,3.434210041650575,0.9656578995834942,70.78091250117818,1.0026666897423764,0.9847974416084813,0.9937066544656142
SIB,TC23SIB09,45.0,105,1.6249944583215998,4.88474767741567,5.009527817626754,0.12478014021108395,1.4999138175515185,0.07678804045889794,2.4908563192727833,0.9750914368072722,51.194968377748445,1.0493086085855736,1.020637486841299,1.0327580645324101
LFP,TC23LFP09,5.0,105,1.7178332243021444,4.864568518808775,5.540024427291062,0.6754559084822874,1.499923919328916,0.39320226138756037,12.192291159491674,0.8780770884050834,262.1481371958411,0.8780325988098205,0.9481986451413129,0.9563358400019039
LFP,TC23LFP09,15.0,105,1.779277397304641,5.316101417841293,5.77300720248217,0.45690578464087667,1.4998824763191072,0.2567928898175325,7.914519566932547,0.9208548043306743,171.2086739273955,0.959532243280393,0.9880746338985491,0.9905424579496014
LFP,TC23LFP09,25.0,105,1.796265655273073,5.540305138331688,5.842683340330459,0.3023782019987711,1.4999316663030868,0.16833712825890598,5.1753309975150685,0.9482466900248494,112.22986489365215,1.0,1.0,1.0
LFP,TC23LFP09,35.0,105,1.7940554023822126,5.639089802259456,5.842993854596824,0.20390405233736777,1.499934619640036,0.11365538213960198,3.4897187539732144,0.9651028124602679,75.77355749471116,1.0178301847030604,1.0000531458318513,0.9987695289478079
LFP,TC23LFP09,45.0,105,1.8007664629366644,5.704864406287029,5.866736137070725,0.16187173078369652,1.4999227233680972,0.08989046281976976,2.7591445567299613,0.9724085544327005,59.930062675442024,1.0297022030098675,1.004116738036141,1.0025056470073783
LTO,TC23LTO09,5.0,105,1.5017328206469986,3.534419176386613,3.6495235221138747,0.11510434572726161,1.4999376145356256,0.07664768602291762,3.1539554418487747,0.9684604455815122,51.10058263766352,0.9758931660791196,0.9860514486113859,0.984102024712343
LTO,TC23LTO09,15.0,105,1.5138675542450346,3.583009664263858,3.676462725712013,0.09345306144815547,1.499861966312549,0.061731332563475474,2.5419287075746593,0.9745807129242535,41.15800917016625,0.9893095501267899,0.9933300537694081,0.992054049026513
LTO,TC23LTO09,25.0,105,1.5259930199675804,3.621727561211412,3.701149191812803,0.07942163060139082,1.4998259436251729,0.052045867551267125,2.1458640677624383,0.9785413593223755,34.70127168587911,1.0,1.0,1.0
LTO,TC23LTO09,35.0,105,1.5257207759909968,3.622028779477334,3.6970207026716144,0.07499192319428037,1.4999388716997808,0.0491518004961105,2.0284420679626765,0.9797155793203732,32.76920241450243,1.0000831697748744,0.998884538577823,0.9998215955295854
LTO,TC23LTO09,45.0,105,1.535464661818404,3.644366136424489,3.7152517546933153,0.07088561826882664,1.4999099257499038,0.04616558103322219,1.9079627155624093,0.9809203728443759,30.77890227984256,1.0062507670249787,1.0038103200248474,1.0062068710189938
NMC,TC23NMC09,5.0,105,1.571218481198803,5.643377594281645,5.972378229643568,0.3290006353619229,1.4999260211713759,0.2093920350980744,5.508703948603698,0.944912960513963,139.6015751060499,0.931436443212588,0.9647288719392689,0.9655686790436807
NMC,TC23NMC09,15.0,105,1.6144625549042741,5.930067796545292,6.138472897262949,0.20840510071765767,1.4998683575283447,0.1290863638085521,3.395064280736375,0.9660493571926363,86.06512908991256,0.978754507233491,0.991558438849859,0.9921436739434359
NMC,TC23NMC09,25.0,105,1.6272467358354772,6.0587897707945055,6.190732342899693,0.13194257210518764,1.499818252244892,0.08108332264525599,2.1312918213386483,0.9786870817866136,54.062098873575124,1.0,1.0,1.0
NMC,TC23NMC09,35.0,105,1.6361003942256505,6.119983043067593,6.220213358853792,0.10023031578619879,1.4999363787889572,0.0612617148311591,1.6113645948097892,0.9838863540519021,40.842875536242126,1.0100999167470806,1.0047621209125464,1.0054408825626726
NMC,TC23NMC09,45.0,105,1.6390654182223405,6.149858143192522,6.231569247635324,0.08171110444280226,1.4999064238886617,0.04985225332337412,1.311244426495123,0.9868875557350487,33.236909002714334,1.0150307859891423,1.0065964578136652,1.007262993451817
