cell_family,temperature_deg_c,anchor_final_voltage_v,anchor_discharge_ah,n_topup_blocks,charge_input_hppc_ah,charge_input_topup_ah,charge_input_final_step_ah,charge_input_total_ah,charge_end_voltage_v,charge_end_current_ma,rested_start_voltage_v,relaxation_drop_mv,charge_input_deficit_vs_25c_ah,final_step_deficit_vs_25c_ah,anchor_discharge_deficit_vs_25c_ah,rested_start_offset_vs_25c_mv
SIB,5.0,1.49165141692938,-1.2242214657451884,11,0.009030514214972382,1.589131610705254,0.8814638798548883,2.479502105325196,4.1000380274233,162.422962439346,4.04795042997872,52.08759744457936,0.009495384625905157,0.14736750888439254,-0.28848840699493694,51.133612143390295
SIB,15.0,1.49527656107387,-1.3679786275233397,11,-0.0077396288767802145,1.7078187076825053,0.35517189623297385,2.0551251759712983,4.1000380274233,127.86061862740699,4.01208058265425,87.95744476904943,0.4338723139798031,0.673659492506307,-0.1447312452167857,15.263764818920222
SIB,25.0,1.49775692285695,-1.5127098727401254,11,-0.0582263400780027,1.5185267821753075,1.0288313887392808,2.4889974899511014,4.1000380274233,73.33615586263049,3.99681681783533,103.22120958796965,0.0,0.0,0.0,0.0
SIB,35.0,1.49871090815813,-1.5112211677697853,11,-0.03435523076347579,1.4067096546944675,0.16132733034887006,1.5335685847193723,4.1000380274233,43.1056487735814,4.07294484486971,27.093182553589834,0.9554289052317291,0.8675040583904108,-0.001488704970340038,76.12802703437981
SIB,45.0,1.49890170521837,-1.5587333670477386,11,-0.022003243416142952,1.4287179312254112,0.17464197288694605,1.5812342309202614,4.1000380274233,44.8377961058084,4.07504361253231,24.994414890989525,0.90776325903084,0.8541894158523348,0.04602349430761321,78.22679469698014
LFP,5.0,1.99808491476037,-1.514942949720657,11,-0.20863592351793728,1.825348859036,0.10164161046021611,1.718327888855997,3.64999532395658,30.0144188796806,3.41272750857266,237.26781538392007,0.07318646166429565,-0.0891922191403651,-0.22658535945180147,-111.19544724181995
LFP,15.0,1.99560542794365,-1.6309646699392437,11,-0.17597104074631928,1.9265986816268295,0.03161152765856343,1.7822127116229551,3.64999532395658,29.9835813324488,3.46765767805061,182.33764590597002,0.009301638897337483,-0.019162136338712422,-0.11056363923321477,-56.26527776386992
LFP,25.0,1.99617761720905,-1.7415283091724585,11,-0.0830438339440418,1.8621325902229555,0.01244939131985101,1.7915143505202926,3.64999532395658,29.925478154653,3.52392295581448,126.0723681421001,0.0,0.0,0.0,0.0
LFP,35.0,1.99598688745392,-1.7806861829368879,11,-0.012309727463640827,1.8000841867089739,0.0013547310973443722,1.7891054486493143,3.64999532395658,29.538917395273803,3.58362136917073,66.37395478584995,0.0024089018709783083,0.011094660222506637,0.03915787376442936,59.69841335625014
LFP,45.0,1.99446104941286,-1.7899361102792808,11,-0.012194042594566128,1.807371625019414,0.0012440806940378147,1.7963964472018383,3.64999532395658,29.913016134278802,3.58724523451823,62.75008943834992,-0.004882096681545711,0.011205310625813194,0.0484078011068223,63.32227870375018
NMC,5.0,2.49788453848916,-1.439088930143138,11,-0.08876655689631038,1.2545466213014889,0.36742777958015194,1.5331565543274783,4.24991273020544,48.549896886885804,4.21672965571338,33.183074492059816,0.0862171491716881,-0.27905958610270315,-0.15168644111774032,-21.549927687369852
NMC,15.0,2.49807524581383,-1.5468474691964555,11,-0.0404630895419076,1.4783298793753994,0.15647996943867926,1.5942944857086276,4.24991273020544,29.9854564925165,4.23351190028408,16.40082992136005,0.025079217790538788,-0.06811177596123047,-0.043927902064422764,-4.767683116670085
NMC,25.0,2.49445180664515,-1.5907753712608783,11,-0.01961205416891018,1.550673521441298,0.08836819347744879,1.6193737034991664,4.24991273020544,29.7696001377147,4.23827958340075,11.633146804689964,0.0,0.0,0.0,0.0
NMC,35.0,2.49731241651516,-1.6043882847908144,11,-0.01043514535759781,1.5737519686408619,0.06684991213250902,1.6301193855227774,4.24991273020544,29.6919585360243,4.24037736397209,9.53536623334994,-0.010745682023610925,0.02151828134493977,0.0136129135299361,2.0977805713400244
NMC,45.0,2.49750312383983,-1.6036867876892238,11,-0.01078370086832257,1.5946204941697986,0.05090506535563908,1.6346905339281887,4.24991273020544,29.7370113059213,4.23980524199809,10.107488207350634,-0.015316830429022321,0.037463128121809706,0.012911416428345479,1.52565859733933
LTO,5.0,1.49565087715448,-1.449632296385812,11,-0.01893708714373813,1.3347155941689122,0.1587048259395182,1.474431060242267,2.70003037445755,29.994402687935,2.68210011269852,17.930261759029786,0.03872367615912453,-0.08127884925860146,-0.04216423886733134,-6.866908758779822
LTO,15.0,1.49450639236135,-1.469391857907472,11,-0.015535096959429524,1.3990054957587714,0.11228195794343136,1.4956984487215723,2.70003037445755,29.9445969528248,2.68610580947447,13.924564983079701,0.017456287679819216,-0.034855981262514615,-0.022404677345671198,-2.8612119828297367
LTO,25.0,1.49050069558539,-1.4917965352531433,11,-0.010866964669626836,1.446652052024585,0.07742597668091675,1.5131547364013915,2.70003037445755,29.834309990377598,2.6889670214573,11.063353000249965,0.0,0.0,0.0,0.0
LTO,35.0,1.49393414996478,-1.4917986476871803,11,-0.007642509997600147,1.4608944053974304,0.06150685180202965,1.5147104145933399,2.70003037445755,29.8675270423993,2.68953926385386,10.49111060368979,-0.0015556781919483509,0.015919124878887095,2.1124340370271e-06,0.5722423965601742
LTO,45.0,1.49240817024061,-1.5067406990202517,11,-0.007014942122031522,1.48286243525522,0.05219400349180691,1.5279884535447814,2.70003037445755,29.9469781035074,2.68915776892282,10.872605534729907,-0.01483371714338988,0.025231973189109837,0.014944163767108387,0.19074746552005806
