temperature_deg_c,segment_index,cumulative_charge_ah,v_min_instantaneous,v_mean_loaded
5,0,0.014489645804663139,3.72569419523918,3.7606987951408657
5,1,0.0289780263587605,3.67704094487886,3.7116279115137893
5,2,0.04346756090507184,3.62247298565121,3.6619476046157153
5,3,0.05795794761187456,3.55416763808652,3.603630912026168
5,4,0.072448444565249,3.48051997283521,3.532366989267916
5,5,0.08693901695493451,3.43568266367962,3.4761302516447654
5,6,0.10142930250535162,3.40572752522248,3.44061277985845
5,7,0.11591890035541971,3.38359506623504,3.415074339093366
5,8,0.13040951356691272,3.36337057784997,3.3936930985467297
5,9,0.14489977187590564,3.34486326300702,3.3743890747348733
5,10,0.15939045128742585,3.32673754228455,3.3556778119926753
5,11,0.17388012500526018,3.30861182156208,3.337007709599415
5,12,0.1883700582137826,3.29029530377937,3.3180612149160886
5,13,0.20285923180620047,3.27178798893642,3.2991504479041844
5,14,0.2173480729949472,3.25308987703324,3.2800300767966397
5,15,0.23183897284096347,3.23420096806982,3.260937146022004
5,16,0.2463280924139024,3.21550285616664,3.241743971749616
5,17,0.26081739783285085,3.19680474426346,3.2230681442441584
5,18,0.275306152902791,3.17848822648075,3.204421210218563
5,19,0.28979551772880197,3.16036250575828,3.186066428794977
5,20,0.3042835765876023,3.14261837915628,3.168032815304017
5,21,0.31877262204906803,3.12468345549404,3.1502005352157405
5,22,0.3332613068509255,3.10732092301251,3.132704301552417
5,23,0.3477507403526906,3.08976759347075,3.115176862979214
5,24,0.3622410178035872,3.07240506098922,3.09776760099514
5,25,0.37672983481099775,3.0550425285077,3.0805803657700186
5,26,0.39121851774616423,3.03767999602617,3.0632494773138346
5,27,0.40570764598345926,3.02031746354465,3.0457833480540306
5,28,0.42019656822685497,3.00238253988241,3.0279821486781624
5,29,0.4346862643205918,2.98444761622017,3.0104226215225856
5,30,0.44917477029179725,2.96594030137723,2.99211834872043
5,31,0.4636645230629861,2.94724218947405,2.973554920922407
5,32,0.478153899659094,2.9287348746311,2.9552731631018943
5,33,0.4926435141469873,2.90946437154721,2.936485877020504
5,34,0.5071323257774739,2.89019386846332,2.917360889377984
5,35,0.5216217700533466,2.87092336537942,2.8980921857721484
5,36,0.5361115637297613,2.85108047111482,2.8786266156758797
5,37,0.5506007581262714,2.83142837391046,2.8588956372918704
5,38,0.5650896560012988,2.81139468258562,2.839260623384606
5,39,0.5795794104907875,2.79136099126078,2.8193692066298217
5,40,0.5940687988375049,2.77132729993594,2.799531769600781
5,41,0.6085585797539194,2.7512936086111,2.779442081266614
5,42,0.623047496635116,2.73106912022603,2.759340759545398
5,43,0.6375370480451479,2.71084463184095,2.739014331656034
5,44,0.6520259015568306,2.69081094051612,2.7191442004309594
5,45,0.6665151391965275,2.67077724919128,2.699153780288896
5,46,0.6810045178328551,2.65093435492668,2.6790944300561583
5,47,0.6954940521584093,2.63109146066208,2.6595357959775874
5,48,0.7099835970191535,2.61124856639747,2.6394975099001754
5,49,0.7244734984988704,2.59178726625335,2.6201882292471654
5,50,0.7389629469871305,2.57308915435016,2.601184440929317
5,51,0.7534521458022335,2.56278611309739,2.590844627182136
5,52,0.7679411199357483,2.54027205998948,2.5691141631112426
5,53,0.7824308839391791,2.51279728331541,2.541764233163776
5,54,0.7969217594482786,2.49009243314726,2.518993885716335
5,55,0.8114110257466042,2.47082193006337,2.499696554946324
5,56,0.8258997500544002,2.45231461522042,2.481312332311646
5,57,0.8403904900418554,2.43380730037748,2.462945791615141
5,58,0.8548810638901152,2.41472759435382,2.443825125391696
5,59,0.869371327122387,2.39545709126993,2.4247119233495003
5,60,0.8838609530090902,2.3759957911258,2.405396757742668
5,61,0.8983509221930404,2.35672528804191,2.386352735400019
5,62,0.9128408701708141,2.33726398789778,2.366718297232727
5,63,0.927330367062878,2.31894747011507,2.347767298473052
5,64,0.9418199062425219,2.30311131411544,2.330044996751519
5,65,0.9563096890606547,2.29128189638077,2.3157983554682704
5,66,0.9707986072413992,2.28116965218824,2.305098557163603
5,67,0.9852882703982598,2.27124820505594,2.2953308440370983
5,68,0.9997779990953852,2.26094516380316,2.2856378803515742
5,69,1.0142679894060074,2.24930654312873,2.275131606992396
5,70,1.0287576909108804,2.23652314009288,2.2629891474252037
5,71,1.0432469078951645,2.22221336057514,2.249892926112832
5,72,1.0577364573555617,2.20656800163574,2.2352480614585954
5,73,1.0722257673896747,2.18882387503374,2.218441213982155
5,74,1.0867141697995715,2.1682177925282,2.198849994131125
5,75,1.1012027601617596,2.14532214529981,2.1767728765595593
5,76,1.115692172626669,2.1191829480474,2.1520722014754305
5,77,1.1301815568116993,2.08903701253003,2.1234886971653077
5,78,1.144670738956017,2.05526593286816,2.091391561070392
5,79,1.1591597612252973,2.01710652082085,2.055352869087439
5,80,1.1736492808827654,1.97436797932786,2.0151298154501496
5,81,1.188138550399737,1.92571472896754,1.9694814209723928
5,82,1.2026278322707749,1.87095597267965,1.918128450492864
5,83,1.2171170861128502,1.80837453692206,1.860547156002662
5,84,1.2316063998476212,1.73510846579122,1.7938973606344735
5,85,1.2460956914801722,1.6473418180824,1.7163750337436359
5,86,1.2605851281689422,1.53858749374757,1.6232381505093718
5,87,1.2668212304865523,1.4990925022786,1.5856330654510582
5,88,1.2696581897465045,1.49890170521837,1.6043123427062633
5,89,1.2715784924692437,1.49775692285695,1.618340683428626
5,90,1.2730882987451493,1.49756612579671,1.6287490627300738
5,91,1.2743664040128218,1.49775692285695,1.624146741160431
5,92,1.2754934529008992,1.49756612579671,1.6455824398774632
5,93,1.2764991123096765,1.49623054637505,1.6420844564682915
5,94,1.2774166388084531,1.49546735813411,1.6406455381092393
5,95,1.2782608304019358,1.49642134343529,1.6385609047166134
5,96,1.2790439291484321,1.49470416989316,1.6700846900189406
5,97,1.2797807038884463,1.49432257577269,1.66904692443985
5,98,1.280480295277469,1.49375018459198,1.6682120660442898
5,99,1.2811404208895418,1.49298699635103,1.6665367339976482
5,100,1.2817671838233593,1.4927961992908,1.6662174440676845
5,101,1.2823666002645342,1.49203301104985,1.664176547328407
5,102,1.282942652967246,1.49165141692938,1.663518906410927
5,103,1.2834982174920397,1.49336859047151,1.6617841456056186
5,104,1.2840321418713803,1.49050663456796,1.6604445396031122
25,0,0.017705087936547317,3.84837670497129,3.872201936621436
25,1,0.03540870569438076,3.82013874005628,3.842973892125018
25,2,0.053115815312731345,3.79724309282789,3.820577612218077
25,3,0.07082347425309847,3.77778179268376,3.801794716964884
25,4,0.08852727547511456,3.76251802786484,3.786129079039739
25,5,0.1062330301886709,3.74916223364828,3.7732536660774287
25,6,0.12393853646136005,3.73447086001007,3.7593746617282586
25,7,0.14164483333241526,3.71977948637185,3.743871763413067
25,8,0.15934857802075547,3.70394333037222,3.7275415088491037
25,9,0.17705784743381897,3.68524521846903,3.7094435524169307
25,10,0.19476706143943118,3.66120478887923,3.687276487473791
25,11,0.21247171912553214,3.63697356222919,3.661971439713875
25,12,0.23017854792531783,3.61560429148269,3.638716869588171
25,13,0.24788367619518498,3.59461661485667,3.616672861626614
25,14,0.2655913005129083,3.57191176468852,3.593688878124419
25,15,0.2832950047530111,3.5488253203999,3.5697805303537127
25,16,0.30099824083667504,3.52516648493057,3.545659037505349
25,17,0.31870161254413465,3.50208004064194,3.5220089248418156
25,18,0.3364050862421505,3.47937519047379,3.4989425277636057
25,19,0.35410926678854615,3.45724273148635,3.476215859047136
25,20,0.371814875958918,3.43568266367962,3.454373148845944
25,21,0.3895209339624932,3.41450418999337,3.432863058194568
25,22,0.4072256128717355,3.39389810748782,3.412044842006177
25,23,0.4249333220297148,3.37329202498227,3.3913332240342275
25,24,0.4426400439430809,3.35306753659719,3.3710582572364
25,25,0.4603435078724761,3.33284304821212,3.350939382344774
25,26,0.47805587548950723,3.31338174806799,3.331223202134272
25,27,0.49576449605608275,3.29315725968292,3.3113802922555373
25,28,0.5134704933764134,3.27350516247855,3.2916955137975066
25,29,0.5311739738621819,3.25347147115371,3.2718562753067904
25,30,0.5488834915230834,3.2330561857084,3.2518481642364727
