cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,arrhenius_r_squared,arrhenius_activation_energy_mev,vtf_r_squared,vtf_b_k,vtf_t0_k,aic_arrhenius,aic_vtf,delta_aic_vtf_minus_arrhenius,aicc_arrhenius,aicc_vtf,vtf_fits_at_least_as_well,forms_indistinguishable
NMC,lithium-ion,discharge,3.0,1s,0.9804095816179541,208.56842873577185,0.9984135056542771,125.92043468807613,228.1023841236392,-23.121489002391087,-33.68905810542704,-10.56756910303595,0.8785109976089132,,True,False
SIB,sodium-ion,discharge,3.0,1s,0.9973375212079058,289.12816413763716,0.9987174795545666,906.2417901481025,142.5130629132386,-29.931253113011515,-31.583404742006955,-1.6521516289954405,-5.931253113011515,,True,True
LFP,lithium-ion,discharge,3.0,end,0.9990415051565236,191.4299691567519,0.9990645504823564,1775.0106560338884,31.528920840875138,-39.21315681054189,-37.33484181752367,1.878314993018222,-15.21315681054189,,True,True
LTO,lithium-ion,discharge,3.0,end,0.937310130112227,79.680231965847,0.9997596798941458,15.352364041746927,255.96313112806106,-26.805199074222443,-52.62511577288327,-25.819916698660826,-2.8051990742224433,,True,False
NMC,lithium-ion,discharge,3.0,end,0.9914603728868586,189.56840075464174,0.9997593165719939,201.37897645741393,206.5017795664764,-28.284320702236506,-44.129271347278475,-15.844950645041969,-4.284320702236506,,True,False
SIB,sodium-ion,discharge,3.0,end,0.9951319064378068,257.3520306769095,0.998206169405565,531.1410931437849,171.44753326229008,-28.067210683328746,-31.05895600618451,-2.9917453228557633,-4.067210683328746,,True,False
LFP,lithium-ion,discharge,3.0,fast,0.9967721271815556,192.24600136809278,0.9967721271815558,2230.922206709159,0.0,-33.08817624648116,-31.088176246481424,1.999999999999737,-9.088176246481162,,True,True
LTO,lithium-ion,discharge,3.0,fast,0.9523451311779348,70.93158179743013,0.9981967422976635,19.21416894430759,249.47757881907305,-29.41889835352996,-43.790848053386256,-14.371949699856295,-5.418898353529961,,True,False
NMC,lithium-ion,discharge,3.0,fast,0.9867370504095434,194.12934329506862,0.9970877679199779,182.74576337650197,211.68592466019547,-25.82141104142279,-31.401683930281102,-5.58027288885831,-1.8214110414227918,,True,False
SIB,sodium-ion,discharge,3.0,fast,0.9993460539525516,257.74552438900946,0.9995171157811333,1701.8351680954743,72.98396252223432,-38.11022548194654,-37.626465178808886,0.4837603031376574,-14.110225481946543,,True,True
