cell_family,direction,temperature_deg_c,common_window_ah,common_window_ocv_energy_wh,common_window_mean_ocv_v,median_offset_vs_25c_mv,max_offset_vs_25c_mv,common_window_energy_retention_vs_25c
SIB,charge,5.0,1.4317100227515507,4.427800217613481,3.092665516934676,-33.02806875849207,-369.28511113065275,0.9814612476360205
SIB,charge,15.0,1.4317100227515507,4.557698719644575,3.183395133942907,32.329722325169506,96.10523691876116,1.0102544044190072
SIB,charge,25.0,1.4317100227515507,4.511436623991447,3.151082658009953,0.0,0.0,1.0
SIB,charge,35.0,1.4317100227515507,4.4716247186835965,3.1232754172452784,-26.89616464359812,-88.72063300999011,0.9911753375640624
SIB,charge,45.0,1.4317100227515507,4.428024551850181,3.0928222066505646,-52.0645790098877,-152.44685112900004,0.9815109733122068
LFP,charge,5.0,0.4271811017188225,1.378046860881836,3.225907830044618,17.25645278380039,52.89804981136781,1.0067973452492365
LFP,charge,15.0,0.4271811017188225,1.3729444684108947,3.213963499056166,10.074646209170535,15.735449264267842,1.0030695509775118
LFP,charge,25.0,0.4271811017188225,1.3687430418687638,3.2041282640112967,0.0,0.0,1.0
LFP,charge,35.0,0.4271811017188225,1.3662539211339633,3.1983014127653373,-5.580206796795606,-10.871596042510312,0.9981814550586484
LFP,charge,45.0,0.4271811017188225,1.3643054616999817,3.193740210441214,-8.895382570204946,-21.74319208502018,0.9967579158154306
LTO,charge,5.0,1.4357583073534317,3.48992029175641,2.4307157227524354,11.107909172758612,30.328847017929927,1.0042205013042544
LTO,charge,15.0,1.4357583073534317,3.4828644332289898,2.4258013451087312,5.52464722321,16.213534569329724,1.00219018622678
LTO,charge,25.0,1.4357583073534317,3.4752529820132088,2.420499999348238,0.0,0.0,1.0
LTO,charge,35.0,1.4357583073534317,3.472093575140251,2.418299484918493,-2.0598244790703824,-8.583635948470114,0.9990908843502013
LTO,charge,45.0,1.4357583073534317,3.4656536577847907,2.4138141078724558,-5.990100396386477,-23.843433190190222,0.9972378056279353
NMC,charge,5.0,1.4100837017055454,5.374820495617612,3.811703155718047,17.13252305502322,85.43688145085015,1.0052605643954378
NMC,charge,15.0,1.4100837017055454,5.352504720437699,3.795877304278929,3.301038714013771,19.45214711604004,1.0010868122170027
NMC,charge,25.0,1.4100837017055454,5.346693868221143,3.7917563771243725,0.0,0.0,1.0
NMC,charge,35.0,1.4100837017055454,5.339175941924832,3.7864248309989774,-4.7019173005862225,-24.601244882049844,0.9985939112128722
NMC,charge,45.0,1.4100837017055454,5.3373192921465265,3.785108136269395,-5.9004653502423565,-27.271147427379905,0.9982466592803572
SIB,discharge,5.0,1.2840489169565137,4.063558417435926,3.1646445581430642,-131.12423700480713,-452.3356345590108,0.9581295876987329
SIB,discharge,15.0,1.2840489169565137,4.113366594367353,3.203434495406111,-97.17960853702135,-261.1186501588452,0.9698736511832308
SIB,discharge,25.0,1.2840489169565137,4.241136553559435,3.3029400185250632,0.0,0.0,1.0
SIB,discharge,35.0,1.2840489169565137,4.2126050811973315,3.2807200921769852,-31.034502886683857,69.25933286587016,0.9932726824515571
SIB,discharge,45.0,1.2840489169565137,4.245696878878626,3.306491538454693,-1.8828807697821581,69.06853580563022,1.0010752601953747
LFP,discharge,5.0,1.7178332243021444,5.544229761501317,3.2274551935934377,-26.917953508419636,-418.7375275531142,0.985946221639705
LFP,discharge,15.0,1.7178332243021444,5.60384393957038,3.262158316821993,-7.763149002358638,-69.31612985503533,0.996547581278782
LFP,discharge,25.0,1.7178332243021444,5.623257780004302,3.2734596702707877,0.0,0.0,1.0
LFP,discharge,35.0,1.7178332243021444,5.63221719664967,3.2786752037222424,5.110308757236615,-10.140264320158465,1.0015932786644117
LFP,discharge,45.0,1.7178332243021444,5.6374541165990575,3.2817237650582913,8.215628486927029,15.187349420321627,1.0025245751039968
LTO,discharge,5.0,1.5017328206469986,3.652265988722525,2.432034472782583,1.108903591885646,-85.54675940993795,1.000387501618423
LTO,discharge,15.0,1.5017328206469986,3.652764120365128,2.432366177354631,1.324623634232358,-24.17496668260055,1.0005239442189782
LTO,discharge,25.0,1.5017328206469986,3.6508512779437003,2.4310924205350903,0.0,0.0,1.0
LTO,discharge,35.0,1.5017328206469986,3.647665745093296,2.428971182451586,-1.75473973294471,-10.29474358432525,0.9991274547748221
LTO,discharge,45.0,1.5017328206469986,3.6445241214787245,2.4268791834146217,-3.11653507105758,-10.695872091179837,0.998266936672222
NMC,discharge,5.0,1.571218481198803,5.980418345517796,3.8062296345667193,-23.91224447820184,-270.10252476911757,0.9917745035290929
NMC,discharge,15.0,1.571218481198803,6.015900216963141,3.8288120264300542,-8.45760770895021,-47.680879444760734,0.9976587098511079
NMC,discharge,25.0,1.571218481198803,6.03001823926437,3.8377974237316805,0.0,0.0,1.0
NMC,discharge,35.0,1.571218481198803,6.033394899259575,3.839946494682417,1.9448781641460133,18.521866637219997,1.0005599750881708
NMC,discharge,45.0,1.571218481198803,6.035648389413392,3.841380725618969,2.962782344031245,20.63336948417982,1.0009336870844538
