comparison,ratio,reversal_threshold_percent,cv_a_percent,cv_b_percent,survival_probability_percent,cv_a_external_low_percent,survival_probability_external_low_percent,cv_a_external_high_percent,survival_probability_external_high_percent
"R_1s at 5 degC, SIB / LFP",1.5166863941393975,20.53042426512116,2.204645236254557,24.07523408088309,95.97030368620692,10.0,94.7139405861867,23.89937106918239,89.34753673946163
"R_1s at 5 degC, SIB / NMC",2.8935305558923843,48.632739070886615,2.204645236254557,4.228219618965205,100.0,10.0,100.0,23.89937106918239,99.99954453710293
"R_1s at 25 degC, SIB / LFP",1.0951880149543938,4.543172940804825,2.204645236254557,24.07523408088309,64.85528365452109,10.0,63.800911715311614,23.89937106918239,60.712229115498026
"R_1s growth 25->5 degC, SIB / LFP",1.3848639442996058,16.137773612600522,,,,,,,
"R_1s growth 25->5 degC, SIB / NMC",1.3612585251110307,15.299405857901297,,,,,,,
"capacity retention at 5 degC, LFP / SIB",1.1718773283641273,7.913767786028065,,,,,,,
"delivered-energy retention at 5 degC, LFP / SIB",1.1725974104284942,7.944288693341182,,,,,,,
