cell_family,chemistry_type,pulse_direction,abs_c_rate,pulse_timepoint,activation_energy_ev,activation_energy_mev,standard_error_ev,standard_error_mev,r_squared,prefactor_mohm,n_points,temperature_min_deg_c,temperature_max_deg_c,li_reference_family_count,li_reference_mean_activation_energy_ev,li_reference_min_activation_energy_ev,li_reference_max_activation_energy_ev,activation_energy_excess_vs_li_mean_ev,exceeds_every_li_reference
LFP,lithium-ion,discharge,2.0,10s,0.21439321647464257,214.39321647464257,0.003570954594329381,3.5709545943293812,0.9991684152276908,0.022233345203563494,5,5.5408997105788425,45.22946397205588,3,0.1684651063841486,0.08622146646677042,0.21439321647464257,0.04592811009049397,False
LTO,lithium-ion,discharge,2.0,10s,0.08622146646677042,86.22146646677042,0.009359079567862217,9.359079567862217,0.965859439098585,1.0610191989493827,5,5.843045878243512,45.37566984031936,3,0.1684651063841486,0.08622146646677042,0.21439321647464257,-0.08224363991737818,False
NMC,lithium-ion,discharge,2.0,10s,0.2047806362110328,204.7806362110328,0.013584899723812726,13.584899723812725,0.9869695294825125,0.019684600330488192,5,5.658237315369261,45.557822255489015,3,0.1684651063841486,0.08622146646677042,0.21439321647464257,0.036315529826884185,False
SIB,sodium-ion,discharge,2.0,10s,0.2901078932925942,290.10789329259416,0.012647861941308307,12.647861941308307,0.9943302092508011,0.001254219941313932,5,5.509382165668662,45.37943646706586,3,0.1684651063841486,0.08622146646677042,0.21439321647464257,0.12164278690844557,True
LFP,lithium-ion,discharge,2.0,1s,0.2390045749150163,239.00457491501632,0.00600003233230387,6.00003233230387,0.9981128966958212,0.007227606898612892,5,5.5408997105788425,45.22946397205588,3,0.17881105055359783,0.07559081846845586,0.2390045749150163,0.06019352436141848,False
LTO,lithium-ion,discharge,2.0,1s,0.07559081846845586,75.59081846845586,0.010093034670108535,10.093034670108535,0.9492310007539663,1.3539097629947168,5,5.843045878243512,45.37566984031936,3,0.17881105055359783,0.07559081846845586,0.2390045749150163,-0.10322023208514197,False
NMC,lithium-ion,discharge,2.0,1s,0.22183775827732138,221.83775827732137,0.019815576760752823,19.815576760752823,0.9766228987954777,0.008230462464742409,5,5.658237315369261,45.557822255489015,3,0.17881105055359783,0.07559081846845586,0.2390045749150163,0.04302670772372355,False
SIB,sodium-ion,discharge,2.0,1s,0.32078012762052305,320.78012762052305,0.010089426210729398,10.089426210729398,0.9970409501891896,0.00034249081726842474,5,5.509382165668662,45.37943646706586,3,0.17881105055359783,0.07559081846845586,0.2390045749150163,0.14196907706692521,True
LFP,lithium-ion,discharge,2.0,end,0.21596531046250922,215.96531046250922,0.003466614426223242,3.466614426223242,0.9992276240000231,0.020953860537280128,5,5.5408997105788425,45.22946397205588,3,0.1689891377134375,0.08622146646677042,0.21596531046250922,0.04697617274907173,False
LTO,lithium-ion,discharge,2.0,end,0.08622146646677042,86.22146646677042,0.009359079567862217,9.359079567862217,0.965859439098585,1.0610191989493827,5,5.843045878243512,45.37566984031936,3,0.1689891377134375,0.08622146646677042,0.21596531046250922,-0.08276767124666706,False
NMC,lithium-ion,discharge,2.0,end,0.2047806362110328,204.7806362110328,0.013584899723812726,13.584899723812725,0.9869695294825125,0.019684600330488192,5,5.658237315369261,45.557822255489015,3,0.1689891377134375,0.08622146646677042,0.21596531046250922,0.0357914984975953,False
SIB,sodium-ion,discharge,2.0,end,0.2901078932925942,290.10789329259416,0.012647861941308307,12.647861941308307,0.9943302092508011,0.001254219941313932,5,5.509382165668662,45.37943646706586,3,0.1689891377134375,0.08622146646677042,0.21596531046250922,0.12111875557915669,True
LFP,lithium-ion,discharge,2.0,fast,0.21254610301957297,212.54610301957297,0.007860016095904228,7.8600160959042285,0.995914137666997,0.017172828558857413,5,5.5408997105788425,45.22946397205588,3,0.16195873600387764,0.07052221888000798,0.21254610301957297,0.05058736701569533,False
LTO,lithium-ion,discharge,2.0,fast,0.07052221888000798,70.52221888000798,0.008783840433207606,8.783840433207606,0.9555284940738039,1.4775197261602295,5,5.843045878243512,45.37566984031936,3,0.16195873600387764,0.07052221888000798,0.21254610301957297,-0.09143651712386966,False
