member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,direction,segment_index,segment_capacity_ah,mean_terminal_voltage_v,ocv_voltage_v,mean_current_a,duration_s,overpotential_v,delivered_energy_wh,ocv_energy_wh,polarisation_loss_wh
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,0,0.0175072449127312,3.0547487464501986,3.323465983171,1.4999198159752067,42.017051333154086,0.2687172367208013,0.053480234450962255,0.05818473292650569,0.004704498475543432
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,1,0.017507432914085,3.0277606732275535,3.31488314419007,1.499945766906577,42.01761933322996,0.28712247096251664,0.05300831686643622,0.0580350942649388,0.005026777398502581
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,2,0.0175067738746427,3.02206430487149,3.31316657639388,1.4999069742154651,42.016043333511334,0.2911022715223899,0.05290659642001445,0.05800285806195177,0.0050962616419373205
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,3,0.017507269272518,3.0189891809900438,3.31240365737336,1.4999407379376442,42.01716233341722,0.2934144763833162,0.052854256522411276,0.05799114276890887,0.005136886246497593
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,4,0.0175068259740707,3.0167977000024746,3.31183146810796,1.4999341290235821,42.01610533305211,0.29503376810548554,0.05281455233292007,0.05797965716761713,0.005165104834697065
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,5,0.0175072049145047,3.014950792268384,3.3114500085977,1.4999026699460416,42.017053666641004,0.2964992163293161,0.05278336132739089,0.05797423386465828,0.0051908725372673895
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,6,0.0175072077117116,3.013124293435635,3.31106854908743,1.4998733989219244,42.017058000026736,0.29794425565179505,0.05275139286638191,0.05796756483658919,0.005216171970207281
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,7,0.0175067577325343,3.011760130521601,3.31049635982204,1.4999003325243674,42.01600166677963,0.29873622930043897,0.052726154953547544,0.057956057745841144,0.0052299027922936
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,8,0.0175067779365435,3.0099485139053175,3.30992417055664,1.4999308148256838,42.0159979997552,0.29997565665132253,0.05269450023336951,0.05794610744073303,0.005251607207363521
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,9,0.0175072645888689,3.00849262755964,3.30916125153612,1.4999473145577344,42.01721499994164,0.30066862397647975,0.05267047644434804,0.057934361597875406,0.005263885153527367
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,10,0.0175071921727816,3.006862333893625,3.30858906227072,1.4999321278096618,42.01700966677163,0.301726728377095,0.052641716716574284,0.05792410453393676,0.005282387817362476
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,11,0.0175072614963514,3.0053315098730344,3.30782614325019,1.4999920475678876,42.01716899982421,0.30249463337715543,0.052615124626571794,0.0579109772743486,0.005295852647776808
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,12,0.0175069525716122,3.003730637443519,3.30687249447453,1.4999504856915327,42.01644066692097,0.30314185703101115,0.05258616980762217,0.057893259921134525,0.005307090113512353
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,13,0.01750729221315,3.002203272273367,3.30591884569888,1.5000017977401183,42.017221000103746,0.3037155734255128,0.05256044997096496,0.05787768726460983,0.005317237293644868
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,14,0.0175072891381594,3.0003221494410917,3.30515592667835,1.4999174160778228,42.01721700007329,0.30483377723725846,0.05252750737788909,0.05786432045505904,0.005336813077169954
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,15,0.0175072168346422,2.998481024765215,3.30401154814756,1.4999298194439377,42.0170723333722,0.30553052338234465,0.05249505747512478,0.0578440465975812,0.005348989122456425
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,16,0.0175068077333747,2.996812848221242,3.30286716961677,1.4999393292714085,42.0160100000212,0.306054321395528,0.0524646263467163,0.05782266050735628,0.005358034160639978
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,17,0.0175070209512346,2.994872460700796,3.30153206133085,1.4999103368403865,42.016576666675974,0.30665960063005393,0.052431294915764357,0.05779999096889195,0.005368696053127592
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,18,0.01750689196402,2.9929008912878343,3.30019695304492,1.4999363260113106,42.01626733341254,0.3072960617570857,0.05239639256279528,0.057776191516945394,0.005379798954150111
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,19,0.0175067700779308,2.99221234007315,3.2994340340244,1.4999053600152707,42.01599799981341,0.30722169395125,0.05238397346200792,0.05776243302096487,0.005378459558956952
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,20,0.0175072145302474,2.996199177960424,3.29828965549361,1.4999855297369016,42.01706500025466,0.3020904775331861,0.05245510178390406,0.05774386458162243,0.005288762797718373
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,21,0.0175072586507006,2.9930632912218877,3.29676381745255,1.4999111449427005,42.017093666654546,0.30370052623066224,0.0524003331973388,0.057717296862412885,0.005316963665074087
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,22,0.0175071904481047,2.9855444651024254,3.2946657901461,1.4999553717013046,42.017007333633956,0.3091213250436744,0.05226849554183304,0.057680341450943126,0.005411845909110084
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,23,0.0175073034535289,2.9801505370048806,3.29294922234992,1.4999394417891836,42.01725066662766,0.3127986853450393,0.052174399788541555,0.05765066129274206,0.005476261504200504
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,24,0.0175073875513005,2.977987360061085,3.29142338430886,1.4999552766099806,42.017400333308615,0.3134360242477747,0.052136778835463686,0.0576242247845083,0.005487445949044614
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,25,0.0175073514813883,2.976776119535426,3.29008827602294,1.499918671914544,42.017292999778874,0.31331215648751387,0.05211546580610986,0.0576007318531285,0.0054852660470186415
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,26,0.0175073387755309,2.9753468157859224,3.28875316773702,1.4999971491265995,42.01738099992508,0.3134063519510977,0.05209040467866127,0.05757731585667241,0.005486911178011138
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,27,0.017507438355887,2.9738702954397045,3.28741805945109,1.4999266666603723,42.0175763333682,0.3135477640113855,0.05206485087581409,0.057554269025869624,0.005489418150055533
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,28,0.0175072351201104,2.972613834536687,3.28608295116517,1.500001750039539,42.01707966660615,0.3134691166284833,0.052042249322526726,0.05753022685023489,0.005487977527708167
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,29,0.0175072675127174,2.9705980375179837,3.28455711312412,1.499875620087514,42.017181333503686,0.3139590756061361,0.05200705451558066,0.05750362004026275,0.005496565524682091
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,30,0.0175067825112108,2.9685377188108544,3.28341273459333,1.499945970220194,42.01600799988955,0.31487501578247556,0.05196954421954747,0.05748199263906534,0.005512448419517868
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,31,0.0175073248448706,2.966708789115226,3.28188689655227,1.4999862249498168,42.01732500013895,0.31517810743704366,0.05193913449117297,0.05745706000206482,0.00551792551089185
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,32,0.0175072849825421,2.964655494530313,3.28055178826635,1.4999393439087008,42.01721033360809,0.3158962937360368,0.05190306861780148,0.0574335550571671,0.005530486439365621
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,33,0.0175069314086529,2.9623877767682085,3.27921667998043,1.4999430954894721,42.01635933323996,0.31682890321222157,0.051862319613712786,0.05740902149052787,0.005546701876815087
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,34,0.0175068133132706,2.9603726888084556,3.27788157169451,1.4999042779982381,42.01607766671805,0.3175088828860546,0.05182669200067455,0.05738526073866581,0.005558568737991258
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,35,0.0175073796687121,2.958237100344964,3.27654646340858,1.4999985594757044,42.01742466649739,0.31830936306361624,0.051790980065809254,0.05736374293706991,0.005572762871260656
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,36,0.0175109793846511,2.955778914779197,3.27521135512266,1.499896554367468,42.02586799993878,0.31943244034346296,0.05175858364228491,0.05735215851992809,0.005593574877643177
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,37,0.0175142418700197,2.9533708338282842,3.27387624683674,1.4998700706370887,42.03372233337723,0.3205054130084557,0.051726051115530323,0.057339460439610974,0.005613409324080651
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,38,0.0175069280839266,2.951215953097252,3.27235040879569,1.4998686388575342,42.016164333501365,0.3211344556984379,0.05166672545101049,0.057288803272193954,0.005622077821183465
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,39,0.017506806972696,2.949125116481818,3.27120603026489,1.49992859552812,42.01600333326496,0.322080913783072,0.05162976415257679,0.05726837253976658,0.0056386083871897835
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,40,0.0175072067835201,2.946594293699545,3.26968019222384,1.4999799549155965,42.017014333454426,0.32308589852429526,0.05158663560693829,0.05724296724124252,0.005656331634304228
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,41,0.0175073920000869,2.9441347272688603,3.26834508393792,1.5000054153035833,42.01748133340152,0.3242103566690595,0.05154412077136487,0.05722019857605808,0.005676077804693216
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,42,0.0175071969192101,2.941750136781122,3.267009975652,1.4998677363625834,42.01700733357575,0.32525983887087806,0.051501798931740346,0.057196186980763356,0.0056943880490230095
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,43,0.0175073500486559,2.938958517811367,3.26567486736607,1.4999791434657217,42.01732866669772,0.32671634955470275,0.05145337554980251,0.05717331304807571,0.005719937498273202
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,44,0.0175073606508022,2.9363601735869125,3.26414902932502,1.499923919328916,42.017420333169866,0.32778885573810745,0.05140791655963823,0.05714663427435905,0.0057387177147208215
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,45,0.0175072940642288,2.9334094547524736,3.2628139210391,1.4998701955937375,42.01721733313752,0.32940446628662645,0.05135606193514062,0.05712304279249093,0.005766980857350314
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,46,0.0175071996596333,2.930828796213942,3.26109735324291,1.499965274035364,42.0170039999648,0.33026855702896807,0.0513106049035202,0.05709268247272533,0.005782077569205131
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,47,0.0175068941332997,2.9275986078830627,3.25957151520186,1.5000033322630022,42.016318999929354,0.33197290731879736,0.05125315889300436,0.05706497343655826,0.005811814543553902
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,48,0.0175073272722153,2.924340736221702,3.25785494740567,1.4998671803017873,42.01732433313737,0.33351421118396773,0.05119739032450437,0.05703633276963682,0.0058389424451324515
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,49,0.0175113771569191,2.920920386174766,3.25632910936462,1.4999242108966668,42.026963000011165,0.33540872318985393,0.051149338527640115,0.05702280718113833,0.005873468653498214
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,50,0.0175117933690746,2.917413194509689,3.2544218118133,1.4998897115938636,42.02791233337484,0.33700861730361087,0.051089137034465514,0.05699076230428388,0.00590162526981837
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,51,0.0175087788503996,2.9138661113639555,3.25270524401711,1.4999549596051827,42.020705000148155,0.33883913265315435,0.05101823734354535,0.05695089678303064,0.005932659439485288
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge,52,0.0175091435568253,2.9099786972338233,3.2507979464658,1.4998960881568069,42.021637333207764,0.3408192492319766,0.05095123475717048,0.056918687918902575,0.0059674531617320975
