model,fit_success,residual_nrmse,near_parameter_bound,elite_parameter_cv,n_parameters,n_starting_points,n_successful_fits,rs_ohm,rct_ohm,q_s_alpha_per_ohm,warburg_sigma_ohm_s_minus_half,alpha,member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,rct2_ohm,q2_s_alpha_per_ohm,alpha1,alpha2,fit_reliable
two_arc_cpe,True,0.10948803781293182,True,15.990518252961381,7,8,8,0.012772592177934413,0.0015820530766338197,0.6884860958549502,,0.7774953170350685,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2429mV_26gradC_EIS.csv,20231113_TC23LTO04_2429mV_26gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,26.0,2.429,0.003778072414219122,99.99999999999994,0.9999999999999999,0.7774953170350685,False
two_arc_cpe_warburg,True,0.10273581107224831,True,0.9793877736533386,8,10,10,0.010577309037724764,0.0022023210255696928,1.000000000000002e-08,0.002029018666975891,0.30000000000000004,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2429mV_26gradC_EIS.csv,20231113_TC23LTO04_2429mV_26gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,26.0,2.429,0.0018688263022690773,0.6913527021113187,0.30000000000000004,0.999999999999998,False
randles_cpe,True,0.11560688232099872,True,3.7411735397297337e-05,4,6,6,0.012748588422416855,0.0031199095478885402,9.999999999971452,,0.6759464836005811,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2472mV_25gradC_EIS.csv,20231113_TC23LTO04_2472mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.472,,,,,False
randles_cpe_warburg,True,0.10242859721752366,True,0.0008635474106055551,5,8,8,0.012701463790094548,0.0016815406897219807,0.735141100241798,0.002110533549072472,0.9999999999999999,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2472mV_25gradC_EIS.csv,20231113_TC23LTO04_2472mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.472,,,,,False
two_arc_cpe,True,0.11107458145518273,True,0.5656261350566149,7,8,8,0.007261984952463041,0.00555089800641103,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2472mV_25gradC_EIS.csv,20231113_TC23LTO04_2472mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.472,0.0070080792046381445,99.99999999999994,0.30000000000000004,0.4160480387948492,False
two_arc_cpe_warburg,True,0.10242859718298057,True,0.7938291478941882,8,10,10,0.00942950504515089,0.003271995441617623,1.000000000000002e-08,0.0021105120882615467,0.30000000000000004,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2472mV_25gradC_EIS.csv,20231113_TC23LTO04_2472mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.472,0.0016815403375844418,0.7353018321838033,0.30000000000000004,0.9999999999999953,False
randles_cpe,True,0.11823738227530507,True,4.6398902576185264e-05,4,6,6,0.01265296228847466,0.0032120314107638008,9.999999999999936,,0.6777637805090728,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2516mV_25gradC_EIS.csv,20231113_TC23LTO04_2516mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.516,,,,,False
randles_cpe_warburg,True,0.10429406750848397,True,0.0006226469153144523,5,8,8,0.012612573479610836,0.0016760107897770015,0.7423672718061268,0.002224874810258066,0.9999999999999999,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2516mV_25gradC_EIS.csv,20231113_TC23LTO04_2516mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.516,,,,,False
two_arc_cpe,True,0.11280756095937736,True,27.934550909135165,7,8,8,0.012628895875245323,0.00011404181644501625,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2516mV_25gradC_EIS.csv,20231113_TC23LTO04_2516mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.516,0.007527319390013968,99.99999999999994,0.30000000000000004,0.4262481076224539,False
two_arc_cpe_warburg,True,0.10429406751470208,True,0.3711663679540694,8,10,10,0.006999495747575336,0.00561310115904049,1.0000000000088267e-08,0.0022248609330653792,0.30000000000000043,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2516mV_25gradC_EIS.csv,20231113_TC23LTO04_2516mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.516,0.0016760107351629506,0.7424712325589891,0.30000000000000043,0.9999999999999989,False
randles_cpe,True,0.12022423717071133,True,9.95587101438086e-05,4,6,6,0.01256514692779809,0.003698627312780628,9.999999999999998,,0.6673330063093069,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2580mV_25gradC_EIS.csv,20231113_TC23LTO04_2580mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.58,,,,,False
randles_cpe_warburg,True,0.10493772961219666,True,0.000395652657786138,5,8,8,0.012544053672563315,0.0018828871737982134,0.6993529427530822,0.0024569833367013706,0.9999999999999143,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2580mV_25gradC_EIS.csv,20231113_TC23LTO04_2580mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.58,,,,,False
two_arc_cpe,True,0.11352754641582113,True,25.859312561060655,7,8,8,0.012571503018367482,0.00010285457897801949,1.000000000000002e-08,,0.30000000000000004,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2580mV_25gradC_EIS.csv,20231113_TC23LTO04_2580mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.58,0.009560009888106716,99.99999999999984,0.30000000000000004,0.4070062008289927,False
two_arc_cpe_warburg,True,0.1049377296112027,True,14.148153855187383,8,10,10,0.012351419370607866,0.00019263843573395518,1.000000000000002e-08,0.002456980756114838,0.30000000000000004,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2580mV_25gradC_EIS.csv,20231113_TC23LTO04_2580mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.58,0.0018828873790578402,0.6993686080249623,0.30000000000000004,0.9999999999999997,False
randles_cpe,True,0.13946213860685577,True,2.552227789940455e-06,4,6,6,0.012401786647120931,0.008274669558038277,9.999999999999998,,0.6564873825164855,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2686mV_25gradC_EIS.csv,20231113_TC23LTO04_2686mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.686,,,,,False
randles_cpe_warburg,True,0.10483488745866054,True,3.8189924347866176e-05,5,8,8,0.012444723643512273,0.0027729908340601663,0.666420705545741,0.005841192344914646,0.9999999999995306,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2686mV_25gradC_EIS.csv,20231113_TC23LTO04_2686mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.686,,,,,False
two_arc_cpe,True,0.1127884199333846,True,28.92997876733028,7,8,8,0.012473418229814102,0.00010000936439446195,1.7075859859526205e-08,,0.30000222211322153,raw_EIS_plotting/TC23LTO04/auxiliary/20231113_TC23LTO04_2686mV_25gradC_EIS.csv,20231113_TC23LTO04_2686mV_25gradC_EIS.csv,TC23LTO04,LTO,lithium-ion,25.0,2.686,0.9999998600352841,92.38292899298418,0.30000222211322153,0.3415723373268453,False
