model,cell_family,spectra_count,fit_success_count,pass_count,median_residual_nrmse,max_residual_nrmse,boundary_hit_count,median_elite_parameter_cv,median_rs_mohm,median_rct_mohm,median_alpha
randles_cpe,LFP,10,10,0,0.08091595160203603,0.11958172536421062,0,8.23428063461148e-05,20.407293704666504,46.17559946941866,0.6302310693582462
randles_cpe,LTO,10,10,0,0.11474316401534942,0.13946213860685577,10,7.297880635999693e-05,12.80416573565135,3.6166355219269657,0.671639744954944
randles_cpe,NMC,10,10,0,0.09843339505503677,0.10513210472507023,10,0.00017791956506875168,16.207049156254502,12.829864291812408,0.815739501598066
randles_cpe,SIB,10,10,0,0.07071850474420038,0.08790498610899457,0,2.982480467044837e-06,19.038283437546998,71.08151345465296,0.7646554383767132
randles_cpe_warburg,LFP,10,10,0,0.07183851519796844,0.07582345277478565,0,5.4914261357148444e-05,20.89998965836006,37.81990325064787,0.7181962058596936
randles_cpe_warburg,LTO,10,10,0,0.10258220413811753,0.10493772961219666,10,0.0001424316279826384,12.766495416222646,2.147273186348335,0.9999999999999925
randles_cpe_warburg,NMC,10,10,0,0.0935097691417239,0.09680197117508328,10,0.00016011166491161863,16.3091387409732,11.444972739461353,0.9039802475637174
randles_cpe_warburg,SIB,10,10,0,0.07031534045395647,0.07676750053310316,0,6.029977541632333e-06,19.152780691324665,70.13427348612578,0.7693539264607017
two_arc_cpe,LFP,10,10,0,0.07969960814946606,0.08678779703512202,10,9.655846344871875,20.306203876103755,0.10073236211619778,0.3000000000002421
two_arc_cpe,LTO,10,10,0,0.11122042965897164,0.11352754641582113,10,8.363763614821039,12.522460624090792,1.9083652142515075,0.30000000000000004
two_arc_cpe,NMC,10,10,0,0.09818807514222905,0.10513210473751519,10,1.0488009273861354,13.473371673712789,3.060863491014707,0.30000000000000004
two_arc_cpe,SIB,10,10,0,0.07071850474689959,0.08790498612914434,10,39.0016808526977,18.89247162468934,0.10002911215604678,0.30038364644491605
two_arc_cpe_warburg,LFP,10,10,0,0.07183851520855797,0.07582345284291425,10,0.9233663355526871,17.00137565944275,4.01407649677241,0.3000000000129708
two_arc_cpe_warburg,LTO,10,10,0,0.10258220412761444,0.1049377296112027,10,1.121066423654408,10.790635852566178,2.0177077677914266,0.30000000000006233
two_arc_cpe_warburg,NMC,10,10,0,0.09338961445376263,0.09680197085650474,10,0.8272486422965462,12.93841708756235,3.601055568119089,0.30000000000000004
two_arc_cpe_warburg,SIB,10,10,0,0.07031534046695301,0.07676750055628623,10,1.0649836943354334,15.694640262672584,3.3610357889694487,0.30002968450949374
