cell_id,cell_family,chemistry_type,temperature_deg_c,direction,smoothing_window_segments,capacity_window,window_lower_fraction,window_upper_fraction,window_width_fraction,n_points,ocv_slope_penalty_v,mean_abs_dv_dcapacity_fraction_v,median_abs_dv_dcapacity_fraction_v,max_abs_dv_dcapacity_fraction_v,mean_dv_dcapacity_fraction_v,voltage_span_v,mean_smoothed_ocv_v,ocv_slope_penalty_vs_25c
TC23LFP09,LFP,lithium-ion,5.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,49,0.08994382478022422,0.11711887059460863,0.0961463931067783,0.6856275155207427,0.11711887059460863,0.08678203858495381,3.263264666052245,1.2825058047039588
TC23LFP09,LFP,lithium-ion,15.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,54,0.06491492054081693,0.11300256811145723,0.0678981978706048,0.4675287413719502,0.11300256811145723,0.06480997079377149,3.3235154316260327,0.925619547633456
TC23LFP09,LFP,lithium-ion,25.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.07013131983522365,0.12019889002309678,0.05854199676437588,0.5136587242116093,0.12019889002309678,0.07003596608438212,3.3232873329670247,1.0
TC23LFP09,LFP,lithium-ion,35.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.07294457992292323,0.1256089578343264,0.047482868358912356,0.5337133112440142,0.1256089578343264,0.07285876646033618,3.3200366621737287,1.0401141757250463
TC23LFP09,LFP,lithium-ion,45.0,charge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.07424160676089184,0.12779272341949385,0.04367381331340425,0.5449565737403645,0.12779272341949385,0.07415572879523147,3.318843965438305,1.058608435365618
TC23LFP09,LFP,lithium-ion,5.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,59,0.1041670666845312,0.17718154412104045,0.16466907809055442,0.3387416865558919,-0.17718154412104045,-0.10410030035092044,3.253147478432402,1.103556276180959
TC23LFP09,LFP,lithium-ion,15.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.10523509284724253,0.17837151618441188,0.1652056785337095,0.40638297622803066,-0.17837151618441188,-0.10535911673478981,3.2716402583407445,1.1148710516901417
TC23LFP09,LFP,lithium-ion,25.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.09439216552237713,0.16065684177715459,0.1384081823150467,0.47400749566361355,-0.16065684177715459,-0.09433493688817007,3.280683391797392,1.0
TC23LFP09,LFP,lithium-ion,35.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.08937595039271544,0.1526358374215415,0.11117538148150174,0.4846094489237487,-0.1526358374215415,-0.0892996713526899,3.287081739316213,0.9468577174609633
TC23LFP09,LFP,lithium-ion,45.0,discharge,5,central_20_80,0.2,0.8,0.6000000000000001,60,0.08959536179296203,0.15285079518540906,0.10065291107392227,0.48428180810302024,-0.15285079518540906,-0.08949040110782613,3.290038050520755,0.9491821836815689
