cell_family,temperature_deg_c,window_low_ah,window_high_ah,central_ocv_slope_v_per_ah,mean_offset_unshifted_mv,rms_unshifted_mv,fitted_shift_ah,rms_at_fitted_shift_mv,rms_reduction_percent,shift_first_third_ah,shift_middle_third_ah,shift_last_third_ah,shift_spread_ah,shift_at_grid_edge
SIB,5.0,0.0144899470434968,0.8840489169565132,1.0439078179050227,103.32396608899836,115.62185761892408,0.09500000000000017,42.889004123367826,62.90579912258036,0.06000000000000014,0.09100000000000016,0.1360000000000002,0.07600000000000007,False
SIB,15.0,0.0155749940675214,1.0003379576190587,1.0439078179050227,95.27715853115471,103.49280557074367,0.08800000000000016,32.8460415699285,68.26248801664167,0.057000000000000134,0.09100000000000016,0.11900000000000019,0.062000000000000055,False
SIB,35.0,0.0165280168345317,1.1635489686880534,1.0439078179050227,23.477351143643098,38.193619540180016,0.025000000000000105,27.363579338945136,28.355626755514983,-0.0009999999999999176,0.037000000000000116,0.04200000000000012,0.04300000000000004,False
SIB,45.0,0.0165310139380222,1.1734512410293592,1.0439078179050227,-2.0784452719926474,19.08831088776423,8.326672684688674e-17,19.08831088776423,0.0,-0.012999999999999928,0.012000000000000094,0.002000000000000085,0.025000000000000022,False
LFP,5.0,0.0175072449127312,1.3178332243021433,0.07365022251710421,25.90172383921434,28.62314949866062,0.3000000000000004,7.997651779094821,72.05879884228304,0.28700000000000037,0.40000000000000047,0.29400000000000037,0.1130000000000001,False
LFP,15.0,0.0178699511594431,1.3792773973046413,0.07365022251710421,8.093368221979404,9.324701915732923,0.09500000000000017,3.109714182158718,66.6507925908933,0.10100000000000017,0.07100000000000015,0.10000000000000017,0.030000000000000027,False
LFP,35.0,0.0180049559441116,1.3940554023822123,0.07365022251710421,-5.360407843500279,5.638756868232941,-0.05199999999999996,3.5421981214723965,37.18122266579581,-0.007999999999999924,-0.04999999999999996,-0.06199999999999997,0.05400000000000005,False
LFP,45.0,0.0180836388522242,1.3962656552730723,0.07365022251710421,-8.245043351374141,8.717320278816228,-0.086,5.253148297136359,39.73895498709711,-0.05199999999999996,-0.08499999999999999,-0.091,0.039000000000000035,False
NMC,5.0,0.0157137256591401,1.1712184811988031,0.45036043217917726,21.729029831623983,23.453787321207237,0.04500000000000012,6.584509537445715,71.9256022608685,0.027000000000000107,0.05100000000000013,0.05200000000000013,0.025000000000000022,False
NMC,15.0,0.0162502645880033,1.2144625549042747,0.45036043217917726,7.486771936449816,8.046299779623798,0.014000000000000096,3.4317934537236754,57.349420880213245,0.0070000000000000895,0.0180000000000001,0.0170000000000001,0.01100000000000001,False
NMC,35.0,0.0164267000872054,1.2272467358354775,0.45036043217917726,-1.896002909495745,2.20901722280829,-0.00399999999999992,0.7786231518013816,64.75250877349295,-0.0029999999999999194,-0.004999999999999921,-0.00399999999999992,0.0020000000000000018,False
NMC,45.0,0.0163294894883464,1.2272467358354775,0.45036043217917726,-3.5385626561156625,4.089055577422334,-0.005999999999999922,2.3890991986917576,41.57332534477798,-0.0029999999999999194,-0.008999999999999925,-0.007999999999999924,0.006000000000000005,False
LTO,5.0,0.0150426868238067,1.1017328206469976,0.2064188893052793,-0.37868693334582576,4.066527105375349,0.003000000000000086,3.9761635124938324,2.222131822558604,0.005000000000000088,0.0010000000000000842,-0.017999999999999933,0.02300000000000002,False
LTO,15.0,0.0151592304482689,1.1138675542450343,0.2064188893052793,-0.9492217894038965,2.0508307933522785,-0.0009999999999999176,2.0121902143491024,1.8841427156461976,8.326672684688674e-17,-0.0019999999999999185,-0.008999999999999925,0.009000000000000008,False
LTO,35.0,0.0152941876620285,1.1257207759909966,0.2064188893052793,0.9685853990502798,2.2092801198600385,0.0010000000000000842,2.207942656978071,0.06053840207698169,-0.0009999999999999176,0.002000000000000085,0.015000000000000097,0.016000000000000014,False
LTO,45.0,0.0154928845121285,1.1259930199675798,0.2064188893052793,2.253166102921148,4.03585048570178,0.003000000000000086,3.928831579235125,2.6517064208845587,8.326672684688674e-17,0.005000000000000088,0.026000000000000106,0.026000000000000023,False
