cell_family,pulse_direction,n_cells,min_r_1s_mohm,median_r_1s_mohm,max_r_1s_mohm,mean_r_1s_mohm,spread_percent_of_mean,cv_percent
SIB,charge,3,88.87,88.99,92.07,89.97666666666667,3.556477605305066,2.0159365045075583
LFP,charge,3,52.15,67.29,85.62,68.35333333333334,48.96615624695212,24.520116873909213
LTO,charge,3,26.58,31.16,31.29,29.676666666666666,15.871054700662702,9.039356186520473
NMC,charge,3,39.04,41.980000000000004,42.09,41.03666666666667,7.432377548533842,4.215835923685227
SIB,discharge,3,89.38,89.63,92.96000000000001,90.65666666666668,3.948964959370532,2.2046452362545566
LFP,discharge,3,52.019999999999996,65.76,84.34,67.37333333333333,47.97150207797349,24.075234080883092
LTO,discharge,3,26.83,31.29,31.419999999999998,29.846666666666664,15.378601742238107,8.75581344317149
NMC,discharge,3,38.79,41.72,41.83,40.78,7.454634624816084,4.228219618965205
