family,temperature_deg_c,increment_mah,segment_duration_s,duty_cycle_pct,n_segments,n_cut_short_vs_own_median,schedule_target_ah,delivered_ah,short_of_schedule_ah,cutoff_limited,first_rested_ocv_v,last_rested_ocv_v,min_mean_terminal_v
SIB,5.0,14.4894773580065,34.77437766682124,8.80867139157898,105,18,1.5213951225906825,1.284048916956514,0.23734620563416864,True,4.01818608858182,2.2376679224543,1.5744540059506944
SIB,15.0,15.5729804100205,37.37445199987269,9.405348484729629,105,16,1.6351629430521526,1.4003379576190595,0.23482498543309305,True,3.98651377658255,2.0972412861202,1.5838424745987698
SIB,25.0,17.707653520530098,42.49271900014719,10.557388244365148,105,18,1.8593036196556603,1.5734512410293595,0.28585237862630075,True,3.96571689701677,1.99630964125506,1.5930046033296268
SIB,35.0,16.5286750677407,39.66834566698526,9.925315851768262,105,12,1.7355108821127736,1.5635489686880535,0.17196191342472011,True,4.03497622988264,1.89957553171513,1.5803663882964405
SIB,45.0,16.5313488792688,39.674311999900965,9.926660485478186,105,8,1.735791632323224,1.6249944583215998,0.11079717400162425,True,4.0347854328224,1.82993460472879,1.5692323515276665
LFP,5.0,17.507269272518002,42.01721033360809,10.451594920212676,105,8,1.83826327361439,1.7178332243021444,0.12043004931224566,True,3.323465983171,2.65419527241364,2.1788223601666505
LFP,15.0,17.871376982389098,42.89094300020952,10.645794785262078,105,6,1.8764945831508553,1.7792773973046407,0.09721718584621453,True,3.32842495680442,2.57389804550316,2.184936073158416
LFP,25.0,18.069646693066097,43.36686399998143,10.751221250534707,105,6,1.8973129027719404,1.796265655273073,0.10104724749886751,True,3.33414684945838,2.54700515002958,2.190239358207999
LFP,35.0,18.0054058764993,43.212690000014845,10.717095734267009,105,6,1.8905676170324264,1.7940554023822126,0.09651221465021376,True,3.33872436358154,2.50637971218652,2.194140117113211
LFP,45.0,18.0843852408707,43.402138666948304,10.759025425688538,105,6,1.8988604502914235,1.800766462936664,0.0980939873547595,True,3.33986874211233,2.46441916605753,2.1869558160625253
NMC,5.0,15.713753923951499,37.712821999710286,9.482425487337634,105,6,1.6499441620149073,1.571218481198803,0.07872568081610432,True,4.19003063025999,3.00802663197355,2.642441661828485
NMC,15.0,16.2475228050998,38.99371533340309,9.773014921004346,105,6,1.705989894535479,1.6144625549042741,0.09152733963120485,True,4.20814782610336,2.83410155187719,2.5978011606007168
NMC,25.0,16.2404962539365,38.97671433334472,9.769170212971302,105,5,1.7052521066633326,1.6272467358354772,0.07800537082785541,True,4.21463187514204,2.73512445037498,2.565745477403297
NMC,35.0,16.4264179197119,39.42319833365036,9.870032210978133,105,6,1.7247738815697493,1.6361003942256505,0.08867348734409886,True,4.21730177768738,2.68401488736421,2.55767845988339
NMC,45.0,16.3280619097808,39.18702966655837,9.816709149916859,105,5,1.714446500526984,1.6390654182223405,0.07538108230464347,True,4.21730177768738,2.66589769152084,2.557145390015412
LTO,5.0,15.0419150926704,36.09369199982029,9.112412726794108,105,6,1.579401084730392,1.5017328206469986,0.07766826408339345,True,2.66111789149115,2.20828340834299,1.809347681273913
LTO,15.0,15.157921716560601,36.37259300018195,9.176364270010277,105,6,1.591581780238863,1.5138675542450344,0.0777142259938286,True,2.66378835600845,2.04843703223593,1.7550131331248526
LTO,25.0,15.3035242778802,36.71780133314314,9.25539544980222,105,6,1.606870049177421,1.5259930199675806,0.08087702920984041,True,2.66493284080158,1.98568111607934,1.719654889598052
LTO,35.0,15.2938587680594,36.70430533343461,9.252308291079476,105,6,1.605855170646237,1.525720775990997,0.08013439465523997,True,2.66455134587054,1.98739784326903,1.71793174716588
LTO,45.0,15.4930152463714,37.179277666524285,9.360830173456426,105,7,1.626766600868997,1.5354646618184038,0.09130193905059314,True,2.66359760854293,1.99044980271738,1.7128201488139296
