family,temperature_deg_c,n_rests,under_read_biexp_mv,under_read_sqrt_mv
SIB,5,87,1.3590676991723782,13.950120243635844
SIB,25,87,1.314592566659556,6.433516135807782
LFP,5,95,2.0422131030701784,21.62226144839785
LFP,25,99,1.9115847896569171,12.488080112966315
NMC,5,98,0.7609279577722727,13.867327820375586
NMC,25,99,0.3320404847269032,4.443661813090305
LTO,5,98,-0.0921792222134954,4.976519803785884
LTO,25,99,-0.023711042480556443,2.7916715127815905
