outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
charge,8,-0.5977665085402265,0.11756250594441033,-0.6190476190476191,0.1017330374542646
energy,8,-0.6587017623010026,0.07568529019290408,-0.6904761904761906,0.057990318164572716
