cell_family,temperature_deg_c,delivered_energy_wh,shortfall_total_wh,shortfall_window_wh,shortfall_polarisation_wh,shortfall_truncation_wh,shortfall_relaxed_shift_wh,shortfall_percent_of_25c,polarisation_share_percent,window_share_percent,truncation_share_percent,relaxed_shift_share_percent,dissipation_upper_share_percent,truncated_capacity_ah,truncation_mean_voltage_v,relaxed_shift_mean_mv,residual_wh,window_residual_wh
SIB,5.0,3.485785096718839,1.1694208526539738,0.8573177987231952,0.31210305393077925,0.6784424946193145,0.17887530410388042,25.120711422263234,26.68868553373822,73.31131446626183,58.015255421485335,15.296059044776483,41.98474457851471,0.2894023240728456,2.344288342510143,139.30567733186942,-7.216449660063518e-16,3.3306690738754696e-16
SIB,15.0,3.9854641317559674,0.6697418176168455,0.5464185004564541,0.12332331716039208,0.38014357671742177,0.1662749237390333,14.386942809846651,18.413560855318202,81.5864391446819,56.75971944981629,24.826719694865762,43.24028055018396,0.17311328341029975,2.195923786024177,118.73913924446079,-7.216449660063518e-16,-9.43689570931383e-16
SIB,35.0,4.667619939326655,-0.01241398995384202,0.07461771700851738,-0.08703170696235901,0.019833396540847568,0.0547843204676699,-0.2666689742376389,701.0776332666796,-601.0776332666828,-159.7664942101013,-441.3111390565822,259.76649421009745,0.009902272341305807,2.00291366034396,35.038442392781896,-3.885780586188048e-16,-8.326672684688674e-17
SIB,45.0,4.88474767741567,-0.22954172804285733,-0.10129361869447884,-0.128248109348378,-0.09694150986080652,-0.004352108833671764,-4.930860858557355,55.87137050934504,44.12862949065474,42.232630505729546,1.89599898492495,57.76736949426999,-0.05154321729224054,1.8807811183218546,-2.765963583863326,-4.996003610813204e-16,-5.551115123125783e-16
LFP,5.0,4.864568518808775,0.6757366195229135,0.30265891303939707,0.37307770648351635,0.22179550480326995,0.08086340823613014,12.196740119017944,55.21052074207822,44.78947925792176,32.822774198601664,11.96670505932055,67.17722580139876,0.07843243097092856,2.8278545246860927,47.072909693535735,1.1102230246251565e-16,-3.0253577421035516e-15
LFP,15.0,5.316101417841293,0.2242037204903955,0.06967613784828863,0.1545275826421056,0.04423209999596068,0.025444037852330403,4.046775671960702,68.92284494838492,31.077155051614515,19.728530775141845,11.348624276473762,80.27146922485868,0.016988257968431952,2.6036866215567236,14.300208551446,1.27675647831893e-15,-2.4494295480792516e-15
LFP,35.0,5.639089802259456,-0.09878466392776808,-0.00031051426636530266,-0.0984741496614033,0.005638024074806032,-0.005948538341171705,-1.7830184703060306,99.68566551323005,0.3143344867704895,-5.7073880201977385,6.021722506968603,105.70738802019865,0.002210252890860298,2.550850220859361,-3.3156937814033047,5.273559366969494e-16,3.703634621210483e-16
LFP,45.0,5.704864406287029,-0.16455926795534026,-0.024052796740265947,-0.14050647121507456,-0.011172450013996593,-0.012880346726268144,-2.9702203009867576,85.38350526280088,14.616494737199266,6.789316793162135,7.827177944036395,93.21068320683727,-0.004500807663591511,2.482321140797496,-7.170624616941775,2.498001805406602e-16,-1.2108369862318114e-15
LTO,5.0,3.534419176386613,0.08730838482479886,0.051625669698928345,0.03568271512587079,0.05315480528704762,-0.0015291355881190682,2.410683392088044,40.86974601291165,59.13025398708867,60.88167292719136,-1.751418940102459,39.11832707280919,0.024260199320581766,2.191029207330229,-1.0182474319634724,-2.7755575615628914e-16,-2.0816681711721685e-16
LTO,15.0,3.583009664263858,0.03871789694755412,0.02468646610078995,0.014031430846764656,0.02586101058162908,-0.0011745444808393124,1.0690449873210115,36.240167862864894,63.759832137136364,66.7934278988848,-3.03359576174891,33.20657210111599,0.012125465722545803,2.1327849315959657,-0.7758568294470499,-4.85722573273506e-16,1.8388068845354155e-16
