cell_family,chemistry_type,direction,n,mean_abs_dudt_mv_per_k,max_abs_dudt_mv_per_k,mean_ehs_v_at_25c
LFP,lithium-ion,charge,11,0.12390746142137371,0.5370068932418484,0.03694300962278253
LFP,lithium-ion,discharge,11,0.1534159634151616,0.7936548906724253,0.04574096949223039
LTO,lithium-ion,charge,11,0.29358311711240215,0.6314965135562375,0.08753180636706266
LTO,lithium-ion,discharge,11,0.32697093817967743,0.6985509550675274,0.09748638521827079
NMC,lithium-ion,charge,11,0.1322192431739622,0.4188322240996227,0.039421167352316794
NMC,lithium-ion,discharge,11,0.17633078253059942,0.4721594205114507,0.052573022811498185
SIB,sodium-ion,charge,11,0.24737254497096195,0.3998466732806744,0.07375412428309226
SIB,sodium-ion,discharge,11,0.273741276277142,0.4518139413798553,0.08161596152202985
