cell_family,chemistry_type,direction,n,mean_temperature_rise_max_k,median_temperature_rise_max_k,mean_abs_current_a,mean_duration_s
LFP,lithium-ion,charge,1,1.3836200000000003,1.3836200000000003,0.3605959916260451,17345.84522966683
LFP,lithium-ion,discharge,1,2.028109999999998,2.028109999999998,0.3638442145871073,17159.857087333323
LTO,lithium-ion,charge,2,0.49939,0.49939,0.36597258914882075,15087.07881816667
LTO,lithium-ion,discharge,2,2.400734999999999,2.400734999999999,0.3666447767849575,15026.462525833205
NMC,lithium-ion,charge,2,0.9621250000000003,0.9621250000000003,0.36023188694652575,16181.600114333341
NMC,lithium-ion,discharge,2,1.6463099999999997,1.6463099999999997,0.36729267151055267,15857.687570666578
SIB,sodium-ion,charge,2,0.9483800000000002,0.9483800000000002,0.318130927494088,17611.12933383332
SIB,sodium-ion,discharge,2,3.5263099999999987,3.5263099999999987,0.3349912527877308,16704.961936000018
