member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,pulse_set,pulse_block_index,nominal_soc_percent,segment_index,step_id,nominal_c_rate,pulse_direction,duration_s,complete_1s,complete_10s,n_points,current_median_a,current_mean_a,pre_voltage_v,pulse_voltage_fast_v,pulse_voltage_100ms_v,pulse_voltage_1s_v,pulse_voltage_10s_v,pulse_voltage_end_v,relax_voltage_60s_v,relax_voltage_end_v,temperature_mean_deg_c,capacity_delta_ah,r_fast_ohm,r_100ms_ohm,r_1s_ohm,r_10s_ohm,r_end_ohm,polarization_1s_minus_fast_ohm,polarization_end_minus_fast_ohm,relaxation_60s_ohm,relaxation_end_ohm
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,0,100,12,28,-3.0,discharge,10.00000000007276,True,True,1002,-4.49999702012457,-4.495399063224789,3.41806794171635,3.03412894463611,3.00971553597925,2.97423980152474,2.93094414710983,2.93094414710983,3.37362790877065,3.37362790877065,5.56527758483034,-0.012499713518479012,0.08531983362727016,0.09074503914355839,0.09862854090941678,0.10824980381721129,0.10824980381721129,0.013308707282146615,0.022929970189941126,0.09837423440084098,0.09837423440084098
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,0,100,16,32,3.0,charge,0.13563000000431202,False,False,16,4.502364684931781,4.221244469736594,3.3883140999158,3.80639372316463,3.84740062051796,,,3.85407616194757,3.38926774869146,3.38926774869146,5.55788,0.00016964710037759755,0.09285778751952979,0.10196564532824293,,,0.10344831985524232,,0.010590532335712527,0.10323650920852774,0.10323650920852774
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,0,100,20,36,-2.0,discharge,10.00000066679786,True,True,1002,-2.99999800018706,-2.997016623138941,3.39003066771198,3.09859560187065,3.07456365272405,3.05015024406718,3.00818969793819,3.00818969793819,3.36695236734104,3.36695236734104,5.488504031936128,-0.008333356113203202,0.09714508670444369,0.10515574175991435,0.1132935500702357,0.12728040810359895,0.12728040810359895,0.01614846336579201,0.030135321399155257,0.1195876361852508,0.1195876361852508
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,0,100,24,40,2.0,charge,0.14558366664277855,False,False,17,2.99767534152985,2.8202717742368613,3.38087563946566,3.70244600661781,3.74822114784944,,,3.7569947165855,3.38163855848619,3.38163855848619,5.4842,0.00012119008135271285,0.10727324693808836,0.12254346002536308,,,0.12547025086709,,0.01819700392900163,0.12521574731563453,0.12521574731563453
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,0,100,28,44,-1.0,discharge,10.000001333159162,True,True,1002,-1.49999898024955,-1.4985293366045307,3.38106636922079,3.2052135349893,3.17298020637204,3.15219066306267,3.11537982032224,3.11537982032224,3.36390069125893,3.36390069125893,5.47939739520958,-0.004166727698630387,0.11723530252149501,0.1387242028752124,0.15258390783708575,0.17712448634754996,0.17712448634754996,0.03534860531559074,0.059889183826054945,0.16568069325976795,0.16568069325976795
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,0,100,32,48,1.0,charge,6.11597366676142,True,False,614,1.49999898024955,1.4974275835543205,3.37038550293341,3.56073379855491,3.61318448121615,3.65476356783487,,3.70130162808702,3.38392731554777,3.38392731554777,5.502728973941368,0.0025481250233426404,0.12689895001784088,0.16186609556384238,0.18958550548757636,,0.22061090008111636,0.06268655546973548,0.09371195006327548,0.2115830188674192,0.2115830188674192
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,1,90,38,28,-3.0,discharge,10.000002333254088,True,True,1002,-4.49999702012457,-4.495502762683298,3.32155868561968,2.85083764995449,2.80086645410996,2.74784358218333,2.69234122343999,2.69234122343999,3.29123265455373,3.29123265455373,5.561025818363273,-0.012499983166095123,0.10460474386095471,0.11570946140211139,0.12749232963280238,0.1398261952987409,0.1398261952987409,0.02288758577184767,0.0352214514377862,0.13308707282147517,0.13308707282147517
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,1,90,42,32,3.0,charge,0.13580799983174074,False,False,16,4.50056416111548,4.218943185527952,3.31907919880297,3.80620299340949,3.87086038039916,,,3.88268562521733,3.31965138806836,3.31965138806836,5.53683,0.00016977610513592087,0.10823616266050184,0.12260266976383453,,,0.12523017253789537,,0.016994009877393523,0.1251030353068936,0.1251030353068936
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,1,90,46,36,-2.0,discharge,9.999999333362211,True,True,1002,-2.99999800018706,-2.997002868883245,3.32098649635429,2.97443053127987,2.92617590323153,2.88230805955123,2.83023883640025,2.83023883640025,3.29771746622821,3.29771746622821,5.523570988023953,-0.008333321025684497,0.11551873203009182,0.13160361876845988,0.14622624307606447,0.1635826623629217,0.1635826623629217,0.03070751104597265,0.04806393033282989,0.1558263138171462,0.1558263138171462
raw_CU_diffT/TC23LFP09/TC23LFP09_05deg.parquet,TC23LFP09_05deg.parquet,TC23LFP09,LFP,lithium-ion,5.0,,discharge_sweep,1,90,50,40,2.0,charge,0.15550099991378374,False,False,18,2.9996858940462197,2.8327674411841546,3.31965138806836,3.67784186820582,3.7402104981339,,,3.75203574295207,3.32022357733376,3.32022357733376,5.51227,0.00012956538273226894,0.11940932910622307,0.14020104934995573,,,0.14414321037476185,,0.024733881268538788,0.1439524606477536,0.1439524606477536
