member_path,file_name,cell_id,cell_family,chemistry_type,temperature_deg_c,voltage_v,direction,soc_percent,dudt_v_per_k,dudt_mv_per_k,entropic_heat_sensitivity_v_at_25c
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,100,8.49784068133174e-05,0.0849784068133174,0.025336311991390584
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,90,-3.75571318499145e-05,-0.0375571318499145,0.011197658861052007
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,80,-0.00021003922180833846,-0.21003922180833845,0.06262319398215611
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,70,-0.0002592764359219546,-0.2592764359219546,0.07730326937013075
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,60,-0.00022874283384720888,-0.22874283384720887,0.06819967591154533
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,50,-0.0002719747861610448,-0.2719747861610448,0.0810892824939155
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,40,-0.00034442945376394167,-0.3444294537639417,0.1026916416397192
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,30,-0.0003870698711066432,-0.38706987110664315,0.11540488207044565
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,20,-0.00037967788960055666,-0.37967788960055665,0.11320096278440596
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,10,-0.00035559406679578655,-0.35559406679578653,0.10602037101516375
data_dUdT/a_dUdT_discharge_SIB.npy,a_dUdT_discharge_SIB.npy,,SIB,sodium-ion,,,discharge,0,-0.0004518139413798554,-0.45181394137985537,0.13470832662240387
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,100,0.0001534516671463215,0.1534516671463215,0.04575161455967575
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,90,4.2256103652452686e-05,0.042256103652452685,0.012598657303978767
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,80,1.534525929661157e-05,0.01534525929661157,0.004575189059284739
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,70,8.99325843500554e-06,0.008993258435005539,0.0026813400023969016
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,60,0.00013073980312496182,0.13073980312496183,0.038980072301707365
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,50,0.00012312843651018018,0.12312843651018018,0.036710743345510215
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,40,0.00011808864253963223,0.11808864253963224,0.03520812877319135
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,30,-1.1826097666443755e-05,-0.011826097666443755,0.003525951019250205
data_dUdT/b_dUdT_charge_LFP.npy,b_dUdT_charge_LFP.npy,,LFP,lithium-ion,,,charge,20,-0.00010628090954530121,-0.10628090954530121,0.03168765318093155
